##v1.0##
FDN,OBJECT_TYPE,EQT_FDN,DOMAIN,ZONE,SITE,NAME,MNEMO,COMMENTARY,IP_ADDRESS,CIAL_TYPE,CIAL_PRIMARY,CIAL_PROTOCOL,CIAL_PE_NAME,CIAL_ACCESS_TYPE_NETWORK,CIAL_TAIL_CIRCUIT_BWD_UP,CIAL_TAIL_CIRCUIT_BWD_DOWN,CIAL_SOLD_BWD,SRV_STAT_DATA,SRV_LOAD_MAX_UP_SLA,SRV_LOAD_MAX_DOWN_SLA,SRV_TECH_REFERENCE,SRV_TECH_NAME,SRV_TECH_TYPE,SRV_CIAL_REFERENCE
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEMTT181.L:PORTA-3,LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEMTT181,ADPGSI_AG,FR,MAN_MONT SAINT AIGNA,Port A-3,A100-CEMTT181-Port A-3,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEMTT181.L:PORTN-1,LR_LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEMTT181,ADPGSI_AG,FR,MAN_MONT SAINT AIGNA,Port N-1,A100-CEMTT181-Port N-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEPSS661.L:PORTA-3,LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEPSS661,ADPGSI_AG,FR,MAN_PESSAC,Port A-3,A100-CEPSS661-Port A-3,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEPSS661.L:PORTN-1,LR_LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEPSS661,ADPGSI_AG,FR,MAN_PESSAC,Port N-1,A100-CEPSS661-Port N-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEQ7KDC2.L:PORTA-3,LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEQ7KDC2,ADPGSI_AG,FR,MAN_ORSID NATION,Port A-3,A100-CEQ7KDC2-Port A-3,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEQ7KDC2.L:PORTN-1,LR_LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEQ7KDC2,ADPGSI_AG,FR,MAN_ORSID NATION,Port N-1,A100-CEQ7KDC2-Port N-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CESDD881.L:PORTA-3,LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CESDD881,ADPGSI_AG,FR,MAN_LYON 1,Port A-3,A100-CESDD881-Port A-3,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CESDD881.L:PORTN-1,LR_LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CESDD881,ADPGSI_AG,FR,MAN_LYON 1,Port N-1,A100-CESDD881-Port N-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CESDE071.L:PORTA-3,LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CESDE071,ADPGSI_AG,FR,MAN_LYON2,Port A-3,A100-CESDE071-Port A-3,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CESDE071.L:PORTN-1,LR_LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CESDE071,ADPGSI_AG,FR,MAN_LYON2,Port N-1,A100-CESDE071-Port N-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEUGHMC1.L:PORTA-3,LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEUGHMC1,ADPGSI_AG,FR,MAN_LISSE,Port A-3,A100-CEUGHMC1-Port A-3,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEUGHMC1.L:PORTN-1,LR_LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEUGHMC1,ADPGSI_AG,FR,MAN_LISSE,Port N-1,A100-CEUGHMC1-Port N-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEUNWKC1.L:PORTA-3,LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEUNWKC1,ADPGSI_AG,FR,MAN_NANTERRE OFFICE,Port A-3,A100-CEUNWKC1-Port A-3,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEUNWKC1.L:PORTN-1,LR_LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEUNWKC1,ADPGSI_AG,FR,MAN_NANTERRE OFFICE,Port N-1,A100-CEUNWKC1-Port N-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEWFGLC2.L:PORTA-3,LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEWFGLC2,ADPGSI_AG,FR,MAN_LE PEC ACCES 1,Port A-3,A100-CEWFGLC2-Port A-3,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEWFGLC2.L:PORTN-1,LR_LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEWFGLC2,ADPGSI_AG,FR,MAN_LE PEC ACCES 1,Port N-1,A100-CEWFGLC2-Port N-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEWGRGC1.L:PORTA-3,LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEWGRGC1,ADPGSI_AG,FR,MAN_LE PEC 2 ACCES 1,Port A-3,A100-CEWGRGC1-Port A-3,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEWGRGC1.L:PORTN-1,LR_LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEWGRGC1,ADPGSI_AG,FR,MAN_LE PEC 2 ACCES 1,Port N-1,A100-CEWGRGC1-Port N-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEWITFC1.L:PORTA-3,LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEWITFC1,ADPGSI_AG,FR,MAN_AUBERVILLIERS,Port A-3,A100-CEWITFC1-Port A-3,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEWITFC1.L:PORTN-1,LR_LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEWITFC1,ADPGSI_AG,FR,MAN_AUBERVILLIERS,Port N-1,A100-CEWITFC1-Port N-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEWSR711.L:PORTA-3,LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEWSR711,ADPGSI_AG,FR,MAN_WASQUEHAL 2,Port A-3,A100-CEWSR711-Port A-3,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEWSR711.L:PORTN-1,LR_LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEWSR711,ADPGSI_AG,FR,MAN_WASQUEHAL 2,Port N-1,A100-CEWSR711-Port N-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEYBIFC5.L:PORTA-3,LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEYBIFC5,ADPGSI_AG,FR,MAN_ORSID BALLAINVIL,Port A-3,A100-CEYBIFC5-Port A-3,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEYBIFC5.L:PORTN-1,LR_LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEYBIFC5,ADPGSI_AG,FR,MAN_ORSID BALLAINVIL,Port N-1,A100-CEYBIFC5-Port N-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A200-CEUSKIC1.L:PORTA-3,LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A200-CEUSKIC1,ADPGSI_AG,FR,MAN_HUB NANTERRE 1,Port A-3,A200-CEUSKIC1-Port A-3,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A200-CEUSKIC1.L:PORTN-2,LR_LAN,DI:ADPGSI_AG.ZI:X.CONVATRI:A200-CEUSKIC1,ADPGSI_AG,FR,MAN_HUB NANTERRE 1,Port N-2,A200-CEUSKIC1-Port N-2,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC2.L:M-1/P-1,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC2,ADPGSI_AG,FR,MAN_SURESNES1,M-1/P-1,A2100-CEUSHJC2-M-1/P-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC2.L:M-2/P-1,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC2,ADPGSI_AG,FR,MAN_SURESNES1,M-2/P-1,A2100-CEUSHJC2-M-2/P-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC2.L:M-2/P-2,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC2,ADPGSI_AG,FR,MAN_SURESNES1,M-2/P-2,A2100-CEUSHJC2-M-2/P-2,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC2.L:M-2/P-3,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC2,ADPGSI_AG,FR,MAN_SURESNES1,M-2/P-3,A2100-CEUSHJC2-M-2/P-3,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC2.L:M-2/P-4,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC2,ADPGSI_AG,FR,MAN_SURESNES1,M-2/P-4,A2100-CEUSHJC2-M-2/P-4,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC2.L:M-2/P-5,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC2,ADPGSI_AG,FR,MAN_SURESNES1,M-2/P-5,A2100-CEUSHJC2-M-2/P-5,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC2.L:M-2/P-6,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC2,ADPGSI_AG,FR,MAN_SURESNES1,M-2/P-6,A2100-CEUSHJC2-M-2/P-6,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC2.L:M-2/P-7,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC2,ADPGSI_AG,FR,MAN_SURESNES1,M-2/P-7,A2100-CEUSHJC2-M-2/P-7,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC2.L:M-2/P-8,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC2,ADPGSI_AG,FR,MAN_SURESNES1,M-2/P-8,A2100-CEUSHJC2-M-2/P-8,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC2.L:N-1,LR_LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC2,ADPGSI_AG,FR,MAN_SURESNES1,N-1,A2100-CEUSHJC2-N-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC3.L:M-1/P-1,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC3,ADPGSI_AG,FR,MAN_SURESNES2,M-1/P-1,A2100-CEUSHJC3-M-1/P-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC3.L:M-2/P-1,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC3,ADPGSI_AG,FR,MAN_SURESNES2,M-2/P-1,A2100-CEUSHJC3-M-2/P-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC3.L:M-2/P-2,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC3,ADPGSI_AG,FR,MAN_SURESNES2,M-2/P-2,A2100-CEUSHJC3-M-2/P-2,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC3.L:M-2/P-3,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC3,ADPGSI_AG,FR,MAN_SURESNES2,M-2/P-3,A2100-CEUSHJC3-M-2/P-3,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC3.L:M-2/P-4,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC3,ADPGSI_AG,FR,MAN_SURESNES2,M-2/P-4,A2100-CEUSHJC3-M-2/P-4,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC3.L:M-2/P-5,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC3,ADPGSI_AG,FR,MAN_SURESNES2,M-2/P-5,A2100-CEUSHJC3-M-2/P-5,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC3.L:M-2/P-6,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC3,ADPGSI_AG,FR,MAN_SURESNES2,M-2/P-6,A2100-CEUSHJC3-M-2/P-6,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC3.L:M-2/P-7,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC3,ADPGSI_AG,FR,MAN_SURESNES2,M-2/P-7,A2100-CEUSHJC3-M-2/P-7,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC3.L:M-2/P-8,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC3,ADPGSI_AG,FR,MAN_SURESNES2,M-2/P-8,A2100-CEUSHJC3-M-2/P-8,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC3.L:N-1,LR_LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC3,ADPGSI_AG,FR,MAN_SURESNES2,N-1,A2100-CEUSHJC3-N-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSKIC3.L:M-1/P-1,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSKIC3,ADPGSI_AG,FR,MAN_HUB NANTERRE 2,M-1/P-1,A2100-CEUSKIC3-M-1/P-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSKIC3.L:M-2/P-1,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSKIC3,ADPGSI_AG,FR,MAN_HUB NANTERRE 2,M-2/P-1,A2100-CEUSKIC3-M-2/P-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSKIC3.L:M-2/P-2,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSKIC3,ADPGSI_AG,FR,MAN_HUB NANTERRE 2,M-2/P-2,A2100-CEUSKIC3-M-2/P-2,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSKIC3.L:M-2/P-3,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSKIC3,ADPGSI_AG,FR,MAN_HUB NANTERRE 2,M-2/P-3,A2100-CEUSKIC3-M-2/P-3,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSKIC3.L:M-2/P-4,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSKIC3,ADPGSI_AG,FR,MAN_HUB NANTERRE 2,M-2/P-4,A2100-CEUSKIC3-M-2/P-4,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSKIC3.L:M-2/P-5,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSKIC3,ADPGSI_AG,FR,MAN_HUB NANTERRE 2,M-2/P-5,A2100-CEUSKIC3-M-2/P-5,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSKIC3.L:M-2/P-6,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSKIC3,ADPGSI_AG,FR,MAN_HUB NANTERRE 2,M-2/P-6,A2100-CEUSKIC3-M-2/P-6,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSKIC3.L:M-2/P-7,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSKIC3,ADPGSI_AG,FR,MAN_HUB NANTERRE 2,M-2/P-7,A2100-CEUSKIC3-M-2/P-7,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSKIC3.L:M-2/P-8,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSKIC3,ADPGSI_AG,FR,MAN_HUB NANTERRE 2,M-2/P-8,A2100-CEUSKIC3-M-2/P-8,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSKIC3.L:N-1,LR_LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSKIC3,ADPGSI_AG,FR,MAN_HUB NANTERRE 2,N-1,A2100-CEUSKIC3-N-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEWE3HC9.L:M-1/P-1,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEWE3HC9,ADPGSI_AG,FR,MAN_MONTSOURIS_HUB2_,M-1/P-1,A2100-CEWE3HC9-M-1/P-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEWE3HC9.L:M-2/P-1,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEWE3HC9,ADPGSI_AG,FR,MAN_MONTSOURIS_HUB2_,M-2/P-1,A2100-CEWE3HC9-M-2/P-1,,,,,,,,,,,N,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEWE3HC9.L:M-2/P-2,LAN,DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEWE3HC9,ADPGSI_AG,FR,MAN_MONTSOURIS_HUB2_,M-2/P-2,A2100-CEWE3HC9-M-2/P-2,,,,,,,,,,,N,,,,,,
