##v1.0##
FDN,OBJECT_TYPE,EQT_FDN,ITF_FDN,DOMAIN,ZONE,SITE,NAME,MNEMO,VPN,ITF_IP_ADDRESS,SRV_SENSOR_PARAM_SERVICE,SRV_SENSOR_TYPE,AVG_BWD_IN,MAX_BWD_IN,AVG_BWD_OUT,MAX_BWD_OUT,ACCESS_DSL_TYPE,CIAL_TAIL_CIRCUIT_BWD_UP,CIAL_TAIL_CIRCUIT_BWD_DOWN,CIAL_INTRANET_BWD,SRV_TECH_REFERENCE,SRV_TECH_NAME,SRV_TECH_TYPE,SRV_CIAL_REFERENCE
DI:ANDROS.ZI:X.RTCIS:BLANQUEFORT2.L:GE0/1.N:12,VLAN,DI:ANDROS.ZI:X.RTCIS:BLANQUEFORT2,DI:ANDROS.ZI:X.RTCIS:BLANQUEFORT2.L:GE0/1,ANDROS,TLS,ANDROS-BLANQUEFORT,12,blanquefort2-GE0/1-12,,,VL,STAT_CDV,2000,2000,2000,2000,,4000,4000,2000,CD03J2FMB5,BVPN - Corporate 2048,VPO0014,0022996871
DI:ANDROS.ZI:X.RTCIS:INTERNET1.L:GE0/0.N:128,VLAN,DI:ANDROS.ZI:X.RTCIS:INTERNET1,DI:ANDROS.ZI:X.RTCIS:INTERNET1.L:GE0/0,ANDROS,TLS,ANDROS-INTERNET,128,internet1-GE0/0-128,,,VL,STAT_CDV,0,0,0,0,,10000,10000,10000,CD02ZZSPCF,Business Internet Ext. 10240,BIE0004,0022878104
DI:ANDROS.ZI:X.RTCIS:INTERNET2.L:GE0/0.N:37,VLAN,DI:ANDROS.ZI:X.RTCIS:INTERNET2,DI:ANDROS.ZI:X.RTCIS:INTERNET2.L:GE0/0,ANDROS,TLS,ANDROS-INTERNET,37,internet2-GE0/0-37,,,VL,STAT_CDV,0,0,0,0,,10000,10000,10000,CD02ZZXSCC,Business Internet Ext. 10240,BIE0004,0022878070
DI:ANDROS.ZI:X.RTCIS:LASERNA1.L:S0/0/0.N:929,DLCI_CPE,DI:ANDROS.ZI:X.RTCIS:LASERNA1,DI:ANDROS.ZI:X.RTCIS:LASERNA1.L:S0/0/0,ANDROS,ES,ANDROS-LA SERNA DE I,929,laserna1-S0/0/0-929,,,STAT_CDI,STAT_CDI,0,0,0,0,,2000,2000,,,EQUANT IPVPN,EVPNPERINT,
DI:ANDROS.ZI:X.RTCIS:MAROMME1.L:ATM0/1/IMA0.N:8-35,VCL,DI:ANDROS.ZI:X.RTCIS:MAROMME1,DI:ANDROS.ZI:X.RTCIS:MAROMME1.L:ATM0/1/IMA0,ANDROS,ROU,ANDROS-MAROMME,8-35,maromme1-ATM0/1/IMA0-8-35,,,ZZ,STAT_CDV,6554,6554,6554,6554,SDSL,6554,6554,4000,CD037T6XF1,BVPN - Corporate 6816,VPO0012,0022916129
DI:ANDROS.ZI:X.RTCIS:MAROMME2.L:ATM0/1/IMA0.N:8-35,VCL,DI:ANDROS.ZI:X.RTCIS:MAROMME2,DI:ANDROS.ZI:X.RTCIS:MAROMME2.L:ATM0/1/IMA0,ANDROS,ROU,ANDROS-MAROMME,8-35,maromme2-ATM0/1/IMA0-8-35,,,ZZ,STAT_CDV,6554,6554,6554,6554,SDSL,6554,6554,4000,CD037T6XF1,BVPN - Corporate 6816,VPO0012,0022916129
DI:ANDROS.ZI:X.RTCIS:NYON1.L:ATM0/0/0.N:8-35,VCL,DI:ANDROS.ZI:X.RTCIS:NYON1,DI:ANDROS.ZI:X.RTCIS:NYON1.L:ATM0/0/0,ANDROS,1#CSCP,ANDROS-NYON,8-35,nyon1-ATM0/0/0-8-35,,, SA,STAT_CDV, 0, 2048, 0, 2048,SDSL,1200,1200,,,EQUANT IPVPN,EVPNPREM,
DI:ANDROS.ZI:X.RTCIS:OLFORD1.L:S0/0/0.N:423,DLCI_CPE,DI:ANDROS.ZI:X.RTCIS:OLFORD1,DI:ANDROS.ZI:X.RTCIS:OLFORD1.L:S0/0/0,ANDROS,GB,ANDROS-OLDFORD,423,olford1-S0/0/0-423,,,STAT_CDI,STAT_CDI,2000,0,2000,0,,2000,2000,,,EQUANT IPVPN,EVPNPERINT,
DI:ANDROS.ZI:X.RTCIS:PICS1.L:GE0/1.N:126,VLAN,DI:ANDROS.ZI:X.RTCIS:PICS1,DI:ANDROS.ZI:X.RTCIS:PICS1.L:GE0/1,ANDROS,TLS,ANDROS-PICS,126,pics1-GE0/1-126,,, VL,STAT_CDV, 8000, 8000, 8000, 8000,,8000,8000,8000,CD038PAJF8,BVPN - Corporate 8192,VPO0006,0022916118
DI:ANDROS.ZI:X.RTCIS:PICS2.L:GE0/1.N:36,VLAN,DI:ANDROS.ZI:X.RTCIS:PICS2,DI:ANDROS.ZI:X.RTCIS:PICS2.L:GE0/1,ANDROS,TLS,ANDROS-PICS,36,pics2-GE0/1-36,,, VL,STAT_CDV, 8000, 8000, 8000, 8000,,8000,8000,8000,CD038PFRE0,BVPN - Corporate 8192,VPO0006,0022916113
DI:ANDROS.ZI:X.RTCIS:ROZET1.L:S0/0/0.N:16,DLCI_CPE,DI:ANDROS.ZI:X.RTCIS:ROZET1,DI:ANDROS.ZI:X.RTCIS:ROZET1.L:S0/0/0,ANDROS,AMI,ANDROS-ROZET ST ALBI,16,rozet1-S0/0/0-16,,,STAT_CDI,STAT_CDI,1024,0,1024,0,,1920,1920,1000,CD037WATF7,BVPN - Corporate 1534,VPO0009,0022915915
DI:ANDROS.ZI:X.RTCIS:STIVES1.L:S0/0/0.N:448,DLCI_CPE,DI:ANDROS.ZI:X.RTCIS:STIVES1,DI:ANDROS.ZI:X.RTCIS:STIVES1.L:S0/0/0,ANDROS,GB,ANDROS-ST IVES,448,stives1-S0/0/0-448,,,STAT_CDI,STAT_CDI,1986,0,1986,0,,2000,2000,,,EQUANT IPVPN,EVPNPERINT,
DI:ANDROS.ZI:X.RTCIS:VALENCE1.L:GE0/1.N:3,VLAN,DI:ANDROS.ZI:X.RTCIS:VALENCE1,DI:ANDROS.ZI:X.RTCIS:VALENCE1.L:GE0/1,ANDROS,MAR,ANDROS-VALENCE,3,valence1-GE0/1-3,,,VL,STAT_CDV,0,0,0,0,,4000,4000,2000,CD03J2UMB5,BVPN - Corporate 3323,VPO0013,0022970080
DI:ANDROS.ZI:X.RTCIS:VALENCE2.L:GE0/1.N:23,VLAN,DI:ANDROS.ZI:X.RTCIS:VALENCE2,DI:ANDROS.ZI:X.RTCIS:VALENCE2.L:GE0/1,ANDROS,MAR,ANDROS-VALENCE,23,valence2-GE0/1-23,,,VL,STAT_CDV,0,0,0,0,,4000,4000,2000,CD03J2UMB5,BVPN - Corporate 3323,VPO0013,0022970080
DI:ANDROS.ZI:X.RTONE:MARCILLE1.L:A0.N:8-35,VCL,DI:ANDROS.ZI:X.RTONE:MARCILLE1,DI:ANDROS.ZI:X.RTONE:MARCILLE1.L:A0,ANDROS,REN,ANDROS-MARCILLE,8-35,marcille1-A0-8-35,,,ZZ,STAT_CDV,2048,2048,2048,2048,SDSL,2048,2048,1000,CD037T7JE3,BVPN - Corporate 2044,VPO0007,0022915861
DI:ANDROS.ZI:X.RTONE:MOULINEAUX1.L:A0.N:8-35,VCL,DI:ANDROS.ZI:X.RTONE:MOULINEAUX1,DI:ANDROS.ZI:X.RTONE:MOULINEAUX1.L:A0,ANDROS,ROU,ANDROS-MOULINEAUX,8-35,moulineaux1-A0-8-35,,,ZZ,STAT_CDV,4096,4096,4096,4096,SDSL,4096,4096,2000,CD038NJBB4,BVPN - Corporate 3748,VPO0007,0022915890
DI:ANDROS.ZI:X.RTONE:SAVIGNE1.L:A0.N:8-35,VCL,DI:ANDROS.ZI:X.RTONE:SAVIGNE1,DI:ANDROS.ZI:X.RTONE:SAVIGNE1.L:A0,ANDROS,NTS,ANDROS-SAVIGNE,8-35,savigne1-A0-8-35,,,ZZ,STAT_CDV,4096,4096,4096,4096,SDSL,4096,4096,2000,CD037T869F,BVPN - Corporate 3578,VPO0007,0022915947
DI:ANDROS.ZI:X.RTONE:VIELMOU1-N.L:A0.N:8-35,VCL,DI:ANDROS.ZI:X.RTONE:VIELMOU1-N,DI:ANDROS.ZI:X.RTONE:VIELMOU1-N.L:A0,ANDROS,LIL,ANDROS-NET VIELMOU1,8-35,vielmou1-n-A0-8-35,,,SO,STAT_CDV,1500,1500,1500,1500,,2000,2000,,,IP-VPN ADSL,ZVAD,
DI:AREVA.ZI:X.RTCIS:-SULLY.L:FE0/1.N:21,VLAN,DI:AREVA.ZI:X.RTCIS:-SULLY,DI:AREVA.ZI:X.RTCIS:-SULLY.L:FE0/1,AREVA,AREVA_NPF,NP-FR-SULLY,21,-sully-FE0/1-21,,,VL,STAT_CDV,0,0,0,0,,4000,4000,4000,CD03HH2JAE,BVPN - Corporate 4096,VPO0006,0022982303
DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N.L:GE0.N:28,VLAN,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N.L:GE0,AREVA,AREVA_NC,SA-FR-MARCOUSSIS,28,28,,,ZZ,STAT_CDV,10000,10000,10000,10000,,,,,,,,
DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N.L:GE0.N:29,VLAN,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N.L:GE0,AREVA,AREVA_NC,SA-FR-MARCOUSSIS,29,29,,,ZZ,STAT_CDV,4000,4000,4000,4000,,,,,,,,
DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N.L:GE0.N:32,VLAN,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N.L:GE0,AREVA,AREVA_NC,SA-FR-MARCOUSSIS,32,32,,,ZZ,STAT_CDV,14000,14000,14000,14000,,,,,,,,
DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N.L:GE4/1/0.N:15,VLAN,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N.L:GE4/1/0,AREVA,AREVA_NC,SA-FR-MARCOUSSIS,15,gtwy-marcoussis-n-GE4/1/0-15,,,ZZ,STAT_CDV,290000,290000,290000,290000,,,,,,,,
DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-S.L:GE0.N:67,VLAN,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-S,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-S.L:GE0,AREVA,AREVA_NC,SA-FR-MARCOUSSIS,67,67,,,VL,STAT_CDV,170000,170000,170000,170000,,,,,,,,
DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-S.L:GE0.N:68,VLAN,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-S,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-S.L:GE0,AREVA,AREVA_NC,SA-FR-MARCOUSSIS,68,68,,,VL,STAT_CDV,4000,4000,4000,4000,,,,,,,,
DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-S.L:GE0.N:69,VLAN,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-S,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-S.L:GE0,AREVA,AREVA_NC,SA-FR-MARCOUSSIS,69,69,,,VL,STAT_CDV,14000,14000,14000,14000,,,,,,,,
DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-S.L:GE0.N:71,VLAN,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-S,DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-S.L:GE0,AREVA,AREVA_NC,SA-FR-MARCOUSSIS,71,71,,,VL,STAT_CDV,10000,10000,10000,10000,,,,,,,,
DI:AREVA.ZI:X.RTCIS:BRUXELLES.L:ATM0/0/0.N:8-36,VCL,DI:AREVA.ZI:X.RTCIS:BRUXELLES,DI:AREVA.ZI:X.RTCIS:BRUXELLES.L:ATM0/0/0,AREVA,AREVA_NC,AREVA,8-36,bruxelles-ATM0/0/0-8-36,,,ZZ,STAT_CDV,2048,2048,2048,2048,SDSL,2048,2048,,,EQUANT IPVPN,EVPNPREM,
DI:AREVA.ZI:X.RTCIS:CFR-DIGUL.L:ATM0.N:8-35,VCL,DI:AREVA.ZI:X.RTCIS:CFR-DIGUL,DI:AREVA.ZI:X.RTCIS:CFR-DIGUL.L:ATM0,AREVA,AREVA_NC,NC-FR-BUL MCO DIGUL,8-35,cfr-digul-ATM0-8-35,,,V,STAT_CDV,0,0,0,0,SDSL,1024,1024,1000,CD03JGDW92,BVPN - Corporate 1024,VPO0002,0023002305
DI:AREVA.ZI:X.RTCIS:CFR-ESI-GRAVELINES.L:ATM0.N:8-35,VCL,DI:AREVA.ZI:X.RTCIS:CFR-ESI-GRAVELINES,DI:AREVA.ZI:X.RTCIS:CFR-ESI-GRAVELINES.L:ATM0,AREVA,AREVA_NC,NC-FR-BUA ESI GRAVEL,8-35,cfr-esi-gravelines-ATM0-8-35,,,SD,STAT_CDV,160,1024,160,1024,SDSL,1024,1024,1000,CD03EKMSBE,BVPN - Corporate 1024,VPO0002,0022982625
DI:AREVA.ZI:X.RTCIS:CFR-MSYS-GIF.L:ATM0.N:8-35,VCL,DI:AREVA.ZI:X.RTCIS:CFR-MSYS-GIF,DI:AREVA.ZI:X.RTCIS:CFR-MSYS-GIF.L:ATM0,AREVA,AREVA_NC,NC-FR-BUA GIF SUR YV,8-35,cfr-msys-gif-ATM0-8-35,,,SD,STAT_CDV,160,1024,160,1024,SDSL,1024,1024,1000,CD03EKTLA1,BVPN - Corporate 1024,VPO0002,0022983244
DI:AREVA.ZI:X.RTCIS:CFR-PNS-CHINON.L:ATM0.N:8-35,VCL,DI:AREVA.ZI:X.RTCIS:CFR-PNS-CHINON,DI:AREVA.ZI:X.RTCIS:CFR-PNS-CHINON.L:ATM0,AREVA,AREVA_NC,NC-FR-BUA PNS CHINON,8-35,cfr-pns-chinon-ATM0-8-35,,,SD,STAT_CDV,160,1024,160,1024,SDSL,1024,1024,1000,CD03JGBB87,BVPN - Corporate 1024,VPO0002,0023002116
DI:AREVA.ZI:X.RTCIS:CFR-PNS-SULLY.L:ATM0.N:8-35,VCL,DI:AREVA.ZI:X.RTCIS:CFR-PNS-SULLY,DI:AREVA.ZI:X.RTCIS:CFR-PNS-SULLY.L:ATM0,AREVA,AREVA_NC,NC-FR-BUA PNS SULLY,8-35,cfr-pns-sully-ATM0-8-35,,,SO,STAT_CDV,320,1600,320,1600,SDSL,1024,1024,1000,CD03EKTUB8,BVPN - Corporate 1024,VPO0002,0022983251
DI:AREVA.ZI:X.RTCIS:CFR-STMI-CHUSCLANNEW.L:ATM0/IMA0.N:0-32,VCL,DI:AREVA.ZI:X.RTCIS:CFR-STMI-CHUSCLANNEW,DI:AREVA.ZI:X.RTCIS:CFR-STMI-CHUSCLANNEW.L:ATM0/IMA0,AREVA,AREVA_NC,NC-FR-REG MELOX,0-32,cfr-stmi-chusclannew-ATM0/IMA0-0-32,,,V,STAT_CDV,4000,4000,4000,4000,,4000,4000,,,,,
DI:AREVA.ZI:X.RTCIS:CFR-TRI-BLYES.L:ATM0.N:8-35,VCL,DI:AREVA.ZI:X.RTCIS:CFR-TRI-BLYES,DI:AREVA.ZI:X.RTCIS:CFR-TRI-BLYES.L:ATM0,AREVA,AREVA_NC,NC-FR-BUA TRIH BLYES,8-35,cfr-tri-blyes-ATM0-8-35,,,SD,STAT_CDV,160,1024,160,1024,SDSL,1024,1024,1000,CD03ERUKF3,BVPN - Corporate 1024,VPO0002,0022984771
DI:AREVA.ZI:X.RTCIS:CFR-TRI-BRAUD.L:ATM0.N:8-35,VCL,DI:AREVA.ZI:X.RTCIS:CFR-TRI-BRAUD,DI:AREVA.ZI:X.RTCIS:CFR-TRI-BRAUD.L:ATM0,AREVA,AREVA_NC,NC-FR-BUA TRIH BRAUD,8-35,cfr-tri-braud-ATM0-8-35,,,SD,STAT_CDV,160,1024,160,1024,SDSL,1024,1024,1000,CD03EKUHA5,BVPN - Corporate 1024,VPO0002,0022983242
DI:AREVA.ZI:X.RTCIS:CFR-TRI-OUZOUER.L:ATM0.N:8-35,VCL,DI:AREVA.ZI:X.RTCIS:CFR-TRI-OUZOUER,DI:AREVA.ZI:X.RTCIS:CFR-TRI-OUZOUER.L:ATM0,AREVA,AREVA_NC,NC-FR-BUA TRIH OUZOU,8-35,cfr-tri-ouzouer-ATM0-8-35,,,SD,STAT_CDV,160,1024,160,1024,SDSL,1024,1024,1000,CD03EKY3DE,BVPN - Corporate 1024,VPO0002,0022982941
DI:AREVA.ZI:X.RTCIS:EUR-PIERRELATTE.L:GE0/0.N:187,VLAN,DI:AREVA.ZI:X.RTCIS:EUR-PIERRELATTE,DI:AREVA.ZI:X.RTCIS:EUR-PIERRELATTE.L:GE0/0,AREVA,AREVA_NC,NC-FR-BUE EURODIF PR,187,187,,,VL,STAT_CDV,24000,24000,24000,24000,,32000,32000,30000,CD03EMYNB7,BVPN - Corporate 32424,VPO0006,0022982249
DI:AREVA.ZI:X.RTCIS:EUR-VALENCE.L:ATM0.N:8-35,VCL,DI:AREVA.ZI:X.RTCIS:EUR-VALENCE,DI:AREVA.ZI:X.RTCIS:EUR-VALENCE.L:ATM0,AREVA,AREVA_NC,NC-FR-BUCSI GUILHERA,8-35,eur-valence-ATM0-8-35,,,SO,STAT_CDV,320,1600,320,1600,SDSL,2048,2048,2000,CD03ERSZE2,BVPN - Corporate 2048,VPO0002,0022983238
DI:AREVA.ZI:X.RTCIS:FBE-DESSEL.L:S0/0.N:455,DLCI_CPE,DI:AREVA.ZI:X.RTCIS:FBE-DESSEL,DI:AREVA.ZI:X.RTCIS:FBE-DESSEL.L:S0/0,AREVA,AREVA_NPF,NP-BE-DESSEL,455,fbe-dessel-S0/0-455,,,STAT_CDI,STAT_CDI,2000,0,2000,0,,2000,2000,,,EQUANT IPVPN,EVPNPERINT,
DI:AREVA.ZI:X.RTCIS:FCH-BEIJING.L:S0/0.N:558,DLCI_CPE,DI:AREVA.ZI:X.RTCIS:FCH-BEIJING,DI:AREVA.ZI:X.RTCIS:FCH-BEIJING.L:S0/0,AREVA,AREVA_NPF,NP-CN-BEIJING,558,fch-beijing-S0/0-558,,,STAT_CDI,STAT_CDI,1024,0,1024,0,,1000,1000,,,EQUANT IPVPN,EVPNPERINT,
DI:AREVA.ZI:X.RTCIS:FFL-VOIMA-B.L:ATM1/0.N:0-41,VCL,DI:AREVA.ZI:X.RTCIS:FFL-VOIMA-B,DI:AREVA.ZI:X.RTCIS:FFL-VOIMA-B.L:ATM1/0,AREVA,AREVA_NPF,NP-FI-VOIMA,0-41,ffl-voima-b-ATM1/0-0-41,,,V,STAT_CDV,23000,23000,23000,23000,,20480,20480,,,EQUANT IPVPN,EVPNHDASIN,
DI:AREVA.ZI:X.RTCIS:FFL-VOIMA-N.L:ATM1/0.N:0-57,VCL,DI:AREVA.ZI:X.RTCIS:FFL-VOIMA-N,DI:AREVA.ZI:X.RTCIS:FFL-VOIMA-N.L:ATM1/0,AREVA,AREVA_NPF,NP-FI-VOIMA,0-57,ffl-voima-n-ATM1/0-0-57,,,V,STAT_CDV,23000,23000,23000,23000,,20480,20480,,,EQUANT IPVPN,EVPNHDANIN,
DI:AREVA.ZI:X.RTCIS:FFR-CHALON.L:GE0/0.N:37,VLAN,DI:AREVA.ZI:X.RTCIS:FFR-CHALON,DI:AREVA.ZI:X.RTCIS:FFR-CHALON.L:GE0/0,AREVA,AREVA_NPF,NP-FR-CHALON,37,ffr-chalon-GE0/0-37,,,VL,STAT_CDV,0,0,0,0,,31000,31000,30000,CD03EPUSE4,BVPN - Corporate 31400,VPO0006,0022982138
DI:AREVA.ZI:X.RTCIS:FFR-CHALON.L:GE0/0/0.N:800,VLAN,DI:AREVA.ZI:X.RTCIS:FFR-CHALON,DI:AREVA.ZI:X.RTCIS:FFR-CHALON.L:GE0/0/0,AREVA,AREVA_NPF,NP-FR-CHALON,800,ffr-chalon-GE0/0/0-800,,,VL,STAT_CDV,0,0,0,0,,31000,31000,30000,CD03EPUSE4,BVPN - Corporate 31400,VPO0006,0022982138
DI:AREVA.ZI:X.RTCIS:FFR-CHATENOY.L:FE0/1.N:1,VLAN,DI:AREVA.ZI:X.RTCIS:FFR-CHATENOY,DI:AREVA.ZI:X.RTCIS:FFR-CHATENOY.L:FE0/1,AREVA,AREVA_NPF,NP-FR-CHATENOY,1,1,,,VL,STAT_CDV,4000,4000,4000,4000,,4000,4000,4000,CD03HHDEA1,BVPN - Corporate 4096,VPO0005,0022982294
DI:AREVA.ZI:X.RTCIS:FFR-STMARCEL.L:GE0/0.N:3,VLAN,DI:AREVA.ZI:X.RTCIS:FFR-STMARCEL,DI:AREVA.ZI:X.RTCIS:FFR-STMARCEL.L:GE0/0,AREVA,AREVA_NPF,NP-FR-SAINT MARCEL,3,3,,,VL,STAT_CDV,31000,31000,31000,31000,,31000,31000,30000,CD03EPTVE1,BVPN - Corporate 31400,VPO0005,0022982213
DI:AREVA.ZI:X.RTCIS:GTWY-MGF-N.L:FE2/0.N:110,VLAN,DI:AREVA.ZI:X.RTCIS:GTWY-MGF-N,DI:AREVA.ZI:X.RTCIS:GTWY-MGF-N.L:FE2/0,AREVA,AREVA_NC,GTW MONTGOLFIER N,110,gtwy-mgf-n-FE2/0-110,,,VL,STAT_CDV,100000,100000,100000,100000,,,,,,,,
DI:AREVA.ZI:X.RTCIS:GTWY-MGF-N.L:FE2/0.N:111,VLAN,DI:AREVA.ZI:X.RTCIS:GTWY-MGF-N,DI:AREVA.ZI:X.RTCIS:GTWY-MGF-N.L:FE2/0,AREVA,AREVA_NC,GTW MONTGOLFIER N,111,gtwy-mgf-n-FE2/0-111,,,VL,STAT_CDV,100000,100000,100000,100000,,,,,,,,
DI:AREVA.ZI:X.RTCIS:GTWY-MGF-N.L:FE2/0.N:112,VLAN,DI:AREVA.ZI:X.RTCIS:GTWY-MGF-N,DI:AREVA.ZI:X.RTCIS:GTWY-MGF-N.L:FE2/0,AREVA,AREVA_NC,GTW MONTGOLFIER N,112,gtwy-mgf-n-FE2/0-112,,,VL,STAT_CDV,100000,100000,100000,100000,,,,,,,,
