##v1.0##
FDN,OBJECT_TYPE,EQT_FDN,ITF_FDN,DOMAIN,ZONE,SITE,NAME,MNEMO,VPN,ITF_IP_ADDRESS,SRV_SENSOR_PARAM_SERVICE,SRV_SENSOR_TYPE,AVG_BWD_IN,MAX_BWD_IN,AVG_BWD_OUT,MAX_BWD_OUT,ACCESS_DSL_TYPE,CIAL_TAIL_CIRCUIT_BWD_UP,CIAL_TAIL_CIRCUIT_BWD_DOWN,CIAL_INTRANET_BWD,SRV_TECH_REFERENCE,SRV_TECH_NAME,SRV_TECH_TYPE,SRV_CIAL_REFERENCE
DI:ADPGSI_AG.ZI:X.RTCIS:BDX1.L:ATM0/0/0.N:8-35,VCL,DI:ADPGSI_AG.ZI:X.RTCIS:BDX1,DI:ADPGSI_AG.ZI:X.RTCIS:BDX1.L:ATM0/0/0,ADPGSI_AG,AGENCES,BORDEAUX,8-35,bdx1-ATM0/0/0-8-35,,,SO,STAT_CDV,1500,1500,1500,1500,,2000,2000,,,IP-VPN ADSL,ZVAD,
DI:ADPGSI_AG.ZI:X.RTCIS:CZ.L:GE0/0.N:25,VLAN,DI:ADPGSI_AG.ZI:X.RTCIS:CZ,DI:ADPGSI_AG.ZI:X.RTCIS:CZ.L:GE0/0,ADPGSI_AG,AGENCES,CZ PRA2,25,cz-GE0/0-25,,,ZZ,STAT_CDV,10240,10240,10240,10240,,10240,10240,,,EQUANT IPVPN,EVPNHDANIN,
DI:ADPGSI_AG.ZI:X.RTCIS:EYBENS.L:ATM0/0/IMA0.N:8-35,VCL,DI:ADPGSI_AG.ZI:X.RTCIS:EYBENS,DI:ADPGSI_AG.ZI:X.RTCIS:EYBENS.L:ATM0/0/IMA0,ADPGSI_AG,AGENCES,EYBENS,8-35,eybens-ATM0/0/IMA0-8-35,,,SY,STAT_CDV,3400,3400,3400,3400,,4000,4000,,,IP-VPN ADSL,ZVAD,
DI:ADPGSI_AG.ZI:X.RTCIS:HEROUVILLE2.L:ATM0/0/0.N:8-35,VCL,DI:ADPGSI_AG.ZI:X.RTCIS:HEROUVILLE2,DI:ADPGSI_AG.ZI:X.RTCIS:HEROUVILLE2.L:ATM0/0/0,ADPGSI_AG,AGENCES,HEROUVILLE,8-35,herouville2-ATM0/0/0-8-35,,,SO,STAT_CDV,1600,1600,1600,1600,,2000,2000,,,IP-VPN ADSL,ZVAD,
DI:ADPGSI_AG.ZI:X.RTCIS:PBCN2168.L:S0/0/0.N:994,DLCI_CPE,DI:ADPGSI_AG.ZI:X.RTCIS:PBCN2168,DI:ADPGSI_AG.ZI:X.RTCIS:PBCN2168.L:S0/0/0,ADPGSI_AG,ES,ES BCN3,994,PBCN2168-S0/0/0-994,,,STAT_CDI,STAT_CDI,0,0,0,0,,2000,2000,,,EQUANT IPVPN,EVPNPERINT,
DI:ADPGSI_AG.ZI:X.RTCIS:PBCN2170.L:ATM0.N:1-33,VCL,DI:ADPGSI_AG.ZI:X.RTCIS:PBCN2170,DI:ADPGSI_AG.ZI:X.RTCIS:PBCN2170.L:ATM0,ADPGSI_AG,ES,ES BCN2,1-33,PBCN2170-ATM0-1-33,,,ZZ,STAT_CDV,2048,2048,2048,2048,SDSL,2048,2048,,,EQUANT IPVPN,EVPNPREM,
DI:ADPGSI_AG.ZI:X.RTCIS:PBRI095.L:S0/0/0.N:100,DLCI_CPE,DI:ADPGSI_AG.ZI:X.RTCIS:PBRI095,DI:ADPGSI_AG.ZI:X.RTCIS:PBRI095.L:S0/0/0,ADPGSI_AG,IT,IT BLT1,100,PBRI095-S0/0/0-100,,,STAT_CDI,STAT_CDI,1600,0,1600,0,SDSL,1600,1600,,,EQUANT IPVPN,EVPNPREM,
DI:ADPGSI_AG.ZI:X.RTCIS:PBRS643.L:S0/0/0.N:400,DLCI_CPE,DI:ADPGSI_AG.ZI:X.RTCIS:PBRS643,DI:ADPGSI_AG.ZI:X.RTCIS:PBRS643.L:S0/0/0,ADPGSI_AG,1#CSCS,GB WOE1,400,PBRS643-S0/0/0-400,,,STAT_CDI,STAT_CDI,0,0,0,0,,2000,2000,,,EQUANT IPVPN,EVPNPERINT,
DI:ADPGSI_AG.ZI:X.RTCIS:PDRS184.L:ATM0.N:1-51,VCL,DI:ADPGSI_AG.ZI:X.RTCIS:PDRS184,DI:ADPGSI_AG.ZI:X.RTCIS:PDRS184.L:ATM0,ADPGSI_AG,DE,DE DRE1,1-51,PDRS184-ATM0-1-51,,,ZZ,STAT_CDV,2048,2048,2048,2048,SDSL,2048,2048,,,EQUANT IPVPN,EVPNPREM,
DI:ADPGSI_AG.ZI:X.RTCIS:PGVA1188.L:ATM0.N:8-35,VCL,DI:ADPGSI_AG.ZI:X.RTCIS:PGVA1188,DI:ADPGSI_AG.ZI:X.RTCIS:PGVA1188.L:ATM0,ADPGSI_AG,CH,CH GEN1,8-35,PGVA1188-ATM0-8-35,,,ZZ,STAT_CDV,1200,1200,1200,1200,SDSL,1200,1200,,,EQUANT IPVPN,EVPNPREM,
DI:ADPGSI_AG.ZI:X.RTCIS:PGVA1189.L:ATM0.N:8-35,VCL,DI:ADPGSI_AG.ZI:X.RTCIS:PGVA1189,DI:ADPGSI_AG.ZI:X.RTCIS:PGVA1189.L:ATM0,ADPGSI_AG,CH,CH CAR1,8-35,PGVA1189-ATM0-8-35,,,ZZ,STAT_CDV,1800,1800,1800,1800,SDSL,1800,1800,,,EQUANT IPVPN,EVPNPREM,
DI:ADPGSI_AG.ZI:X.RTCIS:PHAM1030.L:ATM0.N:1-51,VCL,DI:ADPGSI_AG.ZI:X.RTCIS:PHAM1030,DI:ADPGSI_AG.ZI:X.RTCIS:PHAM1030.L:ATM0,ADPGSI_AG,DE,DE HAM1,1-51,PHAM1030-ATM0-1-51,,,ZZ,STAT_CDV,2048,2048,2048,2048,SDSL,2048,2048,,,EQUANT IPVPN,EVPNPREM,
DI:ADPGSI_AG.ZI:X.RTCIS:PLPL400.L:S0/0/0.N:422,DLCI_CPE,DI:ADPGSI_AG.ZI:X.RTCIS:PLPL400,DI:ADPGSI_AG.ZI:X.RTCIS:PLPL400.L:S0/0/0,ADPGSI_AG,AGENCES,GB WRN1,422,PLPL400-S0/0/0-422,,,STAT_CDI,STAT_CDI,2000,0,2000,0,,2000,2000,,,EQUANT IPVPN,EVPNPERINT,
DI:ADPGSI_AG.ZI:X.RTCIS:PMIL3085.L:GE0/1.N:36,VLAN,DI:ADPGSI_AG.ZI:X.RTCIS:PMIL3085,DI:ADPGSI_AG.ZI:X.RTCIS:PMIL3085.L:GE0/1,ADPGSI_AG,IT,IT MIL1,36,pmil3085-GE0/1-36,,,ZZ,STAT_CDV,10240,10240,10240,10240,,10240,10240,,,EQUANT IPVPN,EVPNHDANIN,
DI:ADPGSI_AG.ZI:X.RTCIS:PMUC1455.L:ATM0.N:1-51,VCL,DI:ADPGSI_AG.ZI:X.RTCIS:PMUC1455,DI:ADPGSI_AG.ZI:X.RTCIS:PMUC1455.L:ATM0,ADPGSI_AG,DE,DE MUE1,1-51,PMUC1455-ATM0-1-51,,,ZZ,STAT_CDV,2048,2048,2048,2048,SDSL,2048,2048,,,EQUANT IPVPN,EVPNPREM,
DI:ADPGSI_AG.ZI:X.RTCIS:PPHM052.L:ATM0.N:1-51,VCL,DI:ADPGSI_AG.ZI:X.RTCIS:PPHM052,DI:ADPGSI_AG.ZI:X.RTCIS:PPHM052.L:ATM0,ADPGSI_AG,DE,DE BOE1,1-51,PPHM052-ATM0-1-51,,,ZZ,STAT_CDV,2048,2048,2048,2048,SDSL,2048,2048,,,EQUANT IPVPN,EVPNPREM,
DI:ADPGSI_AG.ZI:X.RTCIS:PPRG1316.L:S0/0/0.N:522,DLCI_CPE,DI:ADPGSI_AG.ZI:X.RTCIS:PPRG1316,DI:ADPGSI_AG.ZI:X.RTCIS:PPRG1316.L:S0/0/0,ADPGSI_AG,CZ,CZ PIL1,522,PPRG1316-S0/0/0-522,,,STAT_CDI,STAT_CDI,2000,0,2000,0,,2000,2000,,,EQUANT IPVPN,EVPNPERINT,
DI:ADPGSI_AG.ZI:X.RTCIS:PROM1416.L:S0/0/0.N:100,DLCI_CPE,DI:ADPGSI_AG.ZI:X.RTCIS:PROM1416,DI:ADPGSI_AG.ZI:X.RTCIS:PROM1416.L:S0/0/0,ADPGSI_AG,IT,IT ROM2,100,PROM1416-S0/0/0-100,,,STAT_CDI,STAT_CDI,1600,0,1600,0,SDSL,1600,1600,,,EQUANT IPVPN,EVPNPREM,
DI:ADPGSI_AG.ZI:X.RTCIS:PSTR641.L:ATM0.N:1-51,VCL,DI:ADPGSI_AG.ZI:X.RTCIS:PSTR641,DI:ADPGSI_AG.ZI:X.RTCIS:PSTR641.L:ATM0,ADPGSI_AG,DE,DE STG1,1-51,PSTR641-ATM0-1-51,,,ZZ,STAT_CDV,2048,2048,2048,2048,SDSL,2048,2048,,,EQUANT IPVPN,EVPNPREM,
DI:ADPGSI_AG.ZI:X.RTCIS:PTUN232.L:GE0/0.N:32,VLAN,DI:ADPGSI_AG.ZI:X.RTCIS:PTUN232,DI:ADPGSI_AG.ZI:X.RTCIS:PTUN232.L:GE0/0,ADPGSI_AG,TN,TN TUN1,32,PTUN232-GE0/0-32,,,ZZ,STAT_CDV,20480,20480,20480,20480,,20480,20480,,,EQUANT IPVPN,EVPNHDANIN,
DI:ADPGSI_AG.ZI:X.RTCIS:PWAW5622.L:S0/0/0.N:532,DLCI_CPE,DI:ADPGSI_AG.ZI:X.RTCIS:PWAW5622,DI:ADPGSI_AG.ZI:X.RTCIS:PWAW5622.L:S0/0/0,ADPGSI_AG,PL,PL WAR1,532,PWAW5622-S0/0/0-532,,,STAT_CDI,STAT_CDI,2000,0,2000,0,,2000,2000,,,EQUANT IPVPN,EVPNPERINT,
DI:ADPGSI_AG.ZI:X.RTCIS:PZDX036.L:S0/0/0.N:404,DLCI_CPE,DI:ADPGSI_AG.ZI:X.RTCIS:PZDX036,DI:ADPGSI_AG.ZI:X.RTCIS:PZDX036.L:S0/0/0,ADPGSI_AG,CH,CH DIE1,404,pzdx036-S0/0/0-404,,,STAT_CDI,STAT_CDI,2000,0,2000,0,,2000,2000,,,EQUANT IPVPN,EVPNPERINT,
DI:ADPGSI_AG.ZI:X.RTCIS:PZFR023.L:ATM0.N:1-51,VCL,DI:ADPGSI_AG.ZI:X.RTCIS:PZFR023,DI:ADPGSI_AG.ZI:X.RTCIS:PZFR023.L:ATM0,ADPGSI_AG,DE,DE FF01,1-51,PZFR023-ATM0-1-51,,,ZZ,STAT_CDV,2048,2048,2048,2048,SDSL,2048,2048,,,EQUANT IPVPN,EVPNPREM,
DI:ADPGSI_AG.ZI:X.RTCIS:PZOZ115.L:ATM0.N:1-51,VCL,DI:ADPGSI_AG.ZI:X.RTCIS:PZOZ115,DI:ADPGSI_AG.ZI:X.RTCIS:PZOZ115.L:ATM0,ADPGSI_AG,DE,DE FFM1,1-51,PZOZ115-ATM0-1-51,,,ZZ,STAT_CDV,2048,2048,2048,2048,SDSL,2048,2048,,,EQUANT IPVPN,EVPNPREM,
DI:ADPGSI_AG.ZI:X.RTCIS:STRAS-N.L:ATM0/0.N:8-35,VCL,DI:ADPGSI_AG.ZI:X.RTCIS:STRAS-N,DI:ADPGSI_AG.ZI:X.RTCIS:STRAS-N.L:ATM0/0,ADPGSI_AG,AGENCES,STRASBOURG,8-35,stras-n-ATM0/0-8-35,,,SY,STAT_CDV,3400,3400,3400,3400,,4000,4000,,,IP-VPN ADSL,ZVAD,
DI:ADPGSI_AG.ZI:X.SWOMRV:KAGB1005.L:G.N:102,NCONNECT,DI:ADPGSI_AG.ZI:X.SWOMRV:KAGB1005,DI:ADPGSI_AG.ZI:X.SWOMRV:KAGB1005.L:G,ADPGSI_AG,DE,DE AUG1,102,KAGB1005-0027ZKM9,,,ZZ,STAT_CONN,10000,10000,10000,10000,,,,,,,,
DI:ADPGSI_AG.ZI:X.SWOMRV:KBCN1106.L:G.N:102,NCONNECT,DI:ADPGSI_AG.ZI:X.SWOMRV:KBCN1106,DI:ADPGSI_AG.ZI:X.SWOMRV:KBCN1106.L:G,ADPGSI_AG,ES,ES BCN2,102,KBCN1106-0027ZKM9,,,ZZ,STAT_CONN,20000,20000,20000,20000,,,,,,,,
DI:ADPGSI_AG.ZI:X.SWOMRV:KBCN1107.L:G.N:102,NCONNECT,DI:ADPGSI_AG.ZI:X.SWOMRV:KBCN1107,DI:ADPGSI_AG.ZI:X.SWOMRV:KBCN1107.L:G,ADPGSI_AG,ES,ES BCN3,102,KBCN1107-0027ZKM9,,,ZZ,STAT_CONN,20000,20000,20000,20000,,,,,,,,
DI:ADPGSI_AG.ZI:X.SWOMRV:KBLQ1039.L:G.N:102,NCONNECT,DI:ADPGSI_AG.ZI:X.SWOMRV:KBLQ1039,DI:ADPGSI_AG.ZI:X.SWOMRV:KBLQ1039.L:G,ADPGSI_AG,IT,IT BOL1,102,KBLQ1039-0027ZKM9,,,ZZ,STAT_CONN,10000,10000,10000,10000,,,,,,,,
DI:ADPGSI_AG.ZI:X.SWOMRV:KBRE1005.L:G.N:103,NCONNECT,DI:ADPGSI_AG.ZI:X.SWOMRV:KBRE1005,DI:ADPGSI_AG.ZI:X.SWOMRV:KBRE1005.L:G,ADPGSI_AG,DE,DE BRE1,103,KBRE1005-0027ZKM9,,,ZZ,STAT_CONN,40000,40000,40000,40000,,,,,,,,
DI:ADPGSI_AG.ZI:X.SWOMRV:KDRS1058.L:G.N:102,NCONNECT,DI:ADPGSI_AG.ZI:X.SWOMRV:KDRS1058,DI:ADPGSI_AG.ZI:X.SWOMRV:KDRS1058.L:G,ADPGSI_AG,DE,DE DRE1,102,KDRS1058-0027ZKM9,,,ZZ,STAT_CONN,20000,20000,20000,20000,,,,,,,,
DI:ADPGSI_AG.ZI:X.SWOMRV:KGVA1273.L:G.N:102,NCONNECT,DI:ADPGSI_AG.ZI:X.SWOMRV:KGVA1273,DI:ADPGSI_AG.ZI:X.SWOMRV:KGVA1273.L:G,ADPGSI_AG,CH,CH CAR1,102,KGVA1273-0027ZKM9,,,ZZ,STAT_CONN,20000,20000,20000,20000,,,,,,,,
DI:ADPGSI_AG.ZI:X.SWOMRV:KGVA1274.L:G.N:102,NCONNECT,DI:ADPGSI_AG.ZI:X.SWOMRV:KGVA1274,DI:ADPGSI_AG.ZI:X.SWOMRV:KGVA1274.L:G,ADPGSI_AG,CH,CH GEN1,102,KGVA1274-0027ZKM9,,,ZZ,STAT_CONN,2000,2000,2000,2000,,,,,,,,
DI:ADPGSI_AG.ZI:X.SWOMRV:KHAM1121.L:G.N:102,NCONNECT,DI:ADPGSI_AG.ZI:X.SWOMRV:KHAM1121,DI:ADPGSI_AG.ZI:X.SWOMRV:KHAM1121.L:G,ADPGSI_AG,DE,DE HAM1,102,KHAM1121-0027ZKM9,,,ZZ,STAT_CONN,10000,10000,10000,10000,,,,,,,,
DI:ADPGSI_AG.ZI:X.SWOMRV:KLBC1001.L:G.N:101,NCONNECT,DI:ADPGSI_AG.ZI:X.SWOMRV:KLBC1001,DI:ADPGSI_AG.ZI:X.SWOMRV:KLBC1001.L:G,ADPGSI_AG,DE,DE LUE1,101,KLBC1001-0022PCF9,,,ZZ,STAT_CONN,10000,10000,10000,10000,,,,,,,,
DI:ADPGSI_AG.ZI:X.SWOMRV:KMAD1097.L:G.N:102,NCONNECT,DI:ADPGSI_AG.ZI:X.SWOMRV:KMAD1097,DI:ADPGSI_AG.ZI:X.SWOMRV:KMAD1097.L:G,ADPGSI_AG,ES,ES MAD1,102,KMAD1097-0027ZKM9,,,ZZ,STAT_CONN,20000,20000,20000,20000,,,,,,,,
DI:ADPGSI_AG.ZI:X.SWOMRV:KMIL1304.L:G.N:101,NCONNECT,DI:ADPGSI_AG.ZI:X.SWOMRV:KMIL1304,DI:ADPGSI_AG.ZI:X.SWOMRV:KMIL1304.L:G,ADPGSI_AG,IT,IT MIL1,101,KMIL1304-0022PCF9,,,ZZ,STAT_CONN,20000,20000,20000,20000,,,,,,,,
DI:ADPGSI_AG.ZI:X.SWOMRV:KMUC1099.L:G.N:102,NCONNECT,DI:ADPGSI_AG.ZI:X.SWOMRV:KMUC1099,DI:ADPGSI_AG.ZI:X.SWOMRV:KMUC1099.L:G,ADPGSI_AG,DE,DE MUE1,102,KMUC1099-0027ZKM9,,,ZZ,STAT_CONN,10000,10000,10000,10000,,,,,,,,
DI:ADPGSI_AG.ZI:X.SWOMRV:KPHM1003.L:G.N:102,NCONNECT,DI:ADPGSI_AG.ZI:X.SWOMRV:KPHM1003,DI:ADPGSI_AG.ZI:X.SWOMRV:KPHM1003.L:G,ADPGSI_AG,DE,DE BOE1,102,KPHM1003-0027ZKM9,,,ZZ,STAT_CONN,10000,10000,10000,10000,,,,,,,,
DI:ADPGSI_AG.ZI:X.SWOMRV:KPRG1087.L:G.N:102,NCONNECT,DI:ADPGSI_AG.ZI:X.SWOMRV:KPRG1087,DI:ADPGSI_AG.ZI:X.SWOMRV:KPRG1087.L:G,ADPGSI_AG,CZ,CZ PRA1,102,KPRG1087-0027ZKM9,,,ZZ,STAT_CONN,20000,20000,20000,20000,,,,,,,,
DI:ADPGSI_AG.ZI:X.SWOMRV:KPRG1090.L:G.N:103,NCONNECT,DI:ADPGSI_AG.ZI:X.SWOMRV:KPRG1090,DI:ADPGSI_AG.ZI:X.SWOMRV:KPRG1090.L:G,ADPGSI_AG,CZ,CZ PIL1,103,KPRG1090-0027ZKM9,,,ZZ,STAT_CONN,20000,20000,20000,20000,,,,,,,,
DI:ADPGSI_AG.ZI:X.SWOMRV:KROM1087.L:G.N:102,NCONNECT,DI:ADPGSI_AG.ZI:X.SWOMRV:KROM1087,DI:ADPGSI_AG.ZI:X.SWOMRV:KROM1087.L:G,ADPGSI_AG,IT,IT ROM1,102,KROM1087-0027ZKM9,,,ZZ,STAT_CONN,10000,10000,10000,10000,,,,,,,,
DI:ADPGSI_AG.ZI:X.SWOMRV:KROM1100.L:G.N:102,NCONNECT,DI:ADPGSI_AG.ZI:X.SWOMRV:KROM1100,DI:ADPGSI_AG.ZI:X.SWOMRV:KROM1100.L:G,ADPGSI_AG,IT,IT ROM2,102,KROM1100-0027ZKM9,,,ZZ,STAT_CONN,10000,10000,10000,10000,,,,,,,,
DI:ADPGSI_AG.ZI:X.SWOMRV:KRTM1009.L:G.N:102,NCONNECT,DI:ADPGSI_AG.ZI:X.SWOMRV:KRTM1009,DI:ADPGSI_AG.ZI:X.SWOMRV:KRTM1009.L:G,ADPGSI_AG,NL,NL ROT1,102,KRTM1009-0027ZKM9,,,ZZ,STAT_CONN,40000,40000,40000,40000,,,,,,,,
DI:ADPGSI_AG.ZI:X.SWOMRV:KSTR1037.L:G.N:102,NCONNECT,DI:ADPGSI_AG.ZI:X.SWOMRV:KSTR1037,DI:ADPGSI_AG.ZI:X.SWOMRV:KSTR1037.L:G,ADPGSI_AG,DE,DE STG1,102,KSTR1037-0027ZKM9,,,ZZ,STAT_CONN,20000,20000,20000,20000,,,,,,,,
DI:ADPGSI_AG.ZI:X.SWOMRV:KTRN1006.L:G.N:102,NCONNECT,DI:ADPGSI_AG.ZI:X.SWOMRV:KTRN1006,DI:ADPGSI_AG.ZI:X.SWOMRV:KTRN1006.L:G,ADPGSI_AG,IT,IT TUR2,102,KTRN1006-0027ZKM9,,,ZZ,STAT_CONN,20000,20000,20000,20000,,,,,,,,
DI:ADPGSI_AG.ZI:X.SWOMRV:KUWP1001.L:G.N:102,NCONNECT,DI:ADPGSI_AG.ZI:X.SWOMRV:KUWP1001,DI:ADPGSI_AG.ZI:X.SWOMRV:KUWP1001.L:G,ADPGSI_AG,DE,DE WUP1,102,KUWP1001-0027ZKM9,,,ZZ,STAT_CONN,10000,10000,10000,10000,,,,,,,,
DI:ADPGSI_AG.ZI:X.SWOMRV:KWAW1028.L:G.N:102,NCONNECT,DI:ADPGSI_AG.ZI:X.SWOMRV:KWAW1028,DI:ADPGSI_AG.ZI:X.SWOMRV:KWAW1028.L:G,ADPGSI_AG,PL,PL WAR1,102,KWAW1028-0027ZKM9,,,ZZ,STAT_CONN,20000,20000,20000,20000,,,,,,,,
DI:ADPGSI_AG.ZI:X.SWOMRV:KZDX1005.L:G.N:102,NCONNECT,DI:ADPGSI_AG.ZI:X.SWOMRV:KZDX1005,DI:ADPGSI_AG.ZI:X.SWOMRV:KZDX1005.L:G,ADPGSI_AG,CH,CH DIE1,102,KZDX1005-0027ZKM9,,,ZZ,STAT_CONN,20000,20000,20000,20000,,,,,,,,
