##v1.0##
FDN,OBJECT_TYPE,DOMAIN,ZONE,SITE,NAME,MNEMO,ADMIN_ADDRESS,COMMUNITY_CODE,COMMUNITY_NAME,CUSTOMER_CODE,CUSTOMER_NAME,COUNTRY_CODE,COUNTRY_NAME,CITY_CODE,CITY_NAME,NETWORK_ROLE,POP_ID,ORIGIN,ACTIVATION_MODEL,SOFTWARE_RELEASE,VOICE_ROLE,IPPBX_ZONE,IS_SHARED,MANUFACTURER,MACRO_TYPE,SRV_STAT_DATA,SRV_IPER_PATH_PERF,SRV_IPER_PATH_PERF_SLA,SRV_IPER_PATH_PERF_CPUMAX_SLA,SRV_IPER_PATH_AVAIL,SRV_IPER_PATH_AVAIL_SLA,SRV_IPER_PATH_AVAIL_CPUMAX_SLA,SRV_IPER_SITE_AVAIL,SRV_IPER_SITE_AVAIL_SLA,SRV_IPER_SITE_AVAIL_CPUMAX_SLA,SRV_IPER_ROUTER_PERF,SRV_IPER_BACKBONE_PATH,SRV_IPER_COS_VOLUME,SRV_IP_DSL_SERVICE_TYPE,SRV_IP_DSL_CARRIER_NAME,SRV_IP_DSL_OFFER_NAME,SRV_3G_SERVICE_TYPE,SRV_3G_CARRIER_CODE,SRV_3G_CARRIER_NAME,SRV_3G_GSM_NUMBER,SRV_TECH_REFERENCE,SRV_TECH_NAME,SRV_TECH_TYPE,SRV_CIAL_REFERENCE
DI:ANDROS.ZI:X.RTCIS:BIARS1,RTCIS,ANDROS,TLS,ANDROS-BIARS,BIARS1,biars1,10.45.45.146,,,,,FRA,FRANCE,,,CE,,CEDRE,cisco,15.1 4 M1,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD037U3ME1,BVPN - Corporate 14312,VPO0006,0022916027
DI:ANDROS.ZI:X.RTCIS:BIARS2,RTCIS,ANDROS,POI,ANDROS-BIARS,BIARS2,biars2,10.46.75.251,,,,,FRA,FRANCE,,,CE,,CEDRE,cisco,15-1-4-M1,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD037U8LE0,BVPN - Corporate 14312,VPO0006,0022916061
DI:ANDROS.ZI:X.RTCIS:BLANQUEFORT1,RTCIS,ANDROS,TLS,ANDROS-BLANQUEFORT,BLANQUEFORT1,blanquefort1,10.116.90.53,,,,,,,,,CE,,CEDRE,cisco,15.2 2 T0.12,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03J2FMB5,BVPN - Corporate 2048,VPO0014,0022996871
DI:ANDROS.ZI:X.RTCIS:BLANQUEFORT2,RTCIS,ANDROS,TLS,ANDROS-BLANQUEFORT,BLANQUEFORT2,blanquefort2,10.116.88.26,,,,,,,,,CE,,CEDRE,cisco,15.2 2 T0.12,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03J2FMB5,BVPN - Corporate 2048,VPO0014,0022996871
DI:ANDROS.ZI:X.RTCIS:INTERNET1,RTCIS,ANDROS,TLS,ANDROS-INTERNET,INTERNET1,internet1,212.234.226.125,,,,,,,,,CE,,CEDRE,cisco,12.3 11 T7,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD02ZZSPCF,Business Internet Ext. 10240,BIE0004,0022878104
DI:ANDROS.ZI:X.RTCIS:INTERNET2,RTCIS,ANDROS,TLS,ANDROS-INTERNET,INTERNET2,internet2,212.234.226.128,,,,,,,,,CE,,CEDRE,cisco,12.3 11 T7,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD02ZZXSCC,Business Internet Ext. 10240,BIE0004,0022878070
DI:ANDROS.ZI:X.RTCIS:LASERNA1,RTCIS,ANDROS,ES,ANDROS-LA SERNA DE I,LASERNA1,laserna1,10.66.78.2,,,,,ESP,ESPAGNE,,,CE,,SATIN,cisco,12.4 25a,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ANDROS.ZI:X.RTCIS:MAROMME1,RTCIS,ANDROS,ROU,ANDROS-MAROMME,MAROMME1,maromme1,10.113.149.209,,,,,,,,,CE,,CEDRE,cisco,15.2 2 T0.12,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD037T6XF1,BVPN - Corporate 6816,VPO0012,0022916129
DI:ANDROS.ZI:X.RTCIS:MAROMME2,RTCIS,ANDROS,ROU,ANDROS-MAROMME,MAROMME2,maromme2,10.113.146.118,,,,,,,,,CE,,CEDRE,cisco,15.2 2 T0.12,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD037T6XF1,BVPN - Corporate 6816,VPO0012,0022916129
DI:ANDROS.ZI:X.RTCIS:NYON1,RTCIS,ANDROS,1#CSCP,ANDROS-NYON,NYON1,nyon1,10.66.25.5,,,,,CHE,SUISSE,,,CE,,SATIN,cisco,12-4-17a-,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,EQUANT IPVPN,EVPNPREM,
DI:ANDROS.ZI:X.RTCIS:OLFORD1,RTCIS,ANDROS,GB,ANDROS-OLDFORD,OLFORD1,olford1,10.66.53.168,,,,,GBR,ROYAUME-UNI,,,CE,,SATIN,cisco,12.4 25a,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ANDROS.ZI:X.RTCIS:OLFORD1S,RTCIS,ANDROS,GB,ANDROS-OLDFORD,OLFORD1S,olford1s,10.66.122.155,,,,,GBR,ROYAUME-UNI,,,CE,,SATIN,cisco,15.1 4 M4,,,0,cisco,ROUTEUR,N,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,EQUANT IPVPN,EVPNPERINT,
DI:ANDROS.ZI:X.RTCIS:PICS1,RTCIS,ANDROS,TLS,ANDROS-PICS,PICS1,pics1,10.48.193.87,,,,,FRA,FRANCE,,,CE,,CEDRE,cisco,15-2-2-T0-12,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD038PAJF8,BVPN - Corporate 8192,VPO0006,0022916118
DI:ANDROS.ZI:X.RTCIS:PICS2,RTCIS,ANDROS,TLS,ANDROS-PICS,PICS2,pics2,10.42.241.159,,,,,FRA,FRANCE,,,CE,,CEDRE,cisco,15-2-2-T0-12,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD038PFRE0,BVPN - Corporate 8192,VPO0006,0022916113
DI:ANDROS.ZI:X.RTCIS:ROZET1,RTCIS,ANDROS,AMI,ANDROS-ROZET ST ALBI,ROZET1,rozet1,10.113.78.137,,,,,,,,,CE,,CEDRE,cisco,12.4 15 T12,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD037WATF7,BVPN - Corporate 1534,VPO0009,0022915915
DI:ANDROS.ZI:X.RTCIS:STIVES1,RTCIS,ANDROS,GB,ANDROS-ST IVES,STIVES1,stives1,10.66.115.93,,,,,GBR,ROYAUME-UNI,,,CE,,SATIN,cisco,15-0-1-M4-3,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ANDROS.ZI:X.RTCIS:VALENCE1,RTCIS,ANDROS,MAR,ANDROS-VALENCE,VALENCE1,valence1,10.113.175.20,,,,,FRA,FRANCE,,,CE,,CEDRE,cisco,15-2-2-T0-12,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03J2UMB5,BVPN - Corporate 3323,VPO0013,0022970080
DI:ANDROS.ZI:X.RTCIS:VALENCE2,RTCIS,ANDROS,MAR,ANDROS-VALENCE,VALENCE2,valence2,10.115.172.49,,,,,FRA,FRANCE,,,CE,,CEDRE,cisco,15-2-2-T0-12,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03J2UMB5,BVPN - Corporate 3323,VPO0013,0022970080
DI:ANDROS.ZI:X.RTONE:MARCILLE1,RTONE,ANDROS,REN,ANDROS-MARCILLE,MARCILLE1,marcille1,10.113.140.109,,,,,,,,,CE,,CEDRE,one-access,V4.3R4E25_FT1,,,0,one-access,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD037T7JE3,BVPN - Corporate 2044,VPO0007,0022915861
DI:ANDROS.ZI:X.RTONE:MARCILLE1S,RTONE,ANDROS,REN,ANDROS-MARCILLE,MARCILLE1S,marcille1s,10.116.249.2,,,,,,,,,CE,,CEDRE,one-access,V4.3R4E25_FT2,,,0,one-access,ROUTEUR,N,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD037T7JE3,BVPN - Corporate 2044,VPO0007,0022915861
DI:ANDROS.ZI:X.RTONE:MOULINEAUX1,RTONE,ANDROS,ROU,ANDROS-MOULINEAUX,MOULINEAUX1,moulineaux1,10.113.146.119,,,,,,,,,CE,,CEDRE,one-access,V4.3R4E25_FT1,,,0,one-access,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD038NJBB4,BVPN - Corporate 3748,VPO0007,0022915890
DI:ANDROS.ZI:X.RTONE:MOULINEAUX1S,RTONE,ANDROS,ROU,ANDROS-MOULINEAUX,MOULINEAUX1S,moulineaux1s,10.116.249.15,,,,,,,,,CE,,CEDRE,one-access,V4.3R4E25_FT3,,,0,one-access,ROUTEUR,N,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD038NJBB4,BVPN - Corporate 3748,VPO0007,0022915890
DI:ANDROS.ZI:X.RTONE:ROZET1S,RTONE,ANDROS,AMI,ANDROS-ROZET ST ALBI,ROZET1S,rozet1s,10.116.249.11,,,,,,,,,CE,,CEDRE,one-access,V4.3R4E25_FT2,,,0,one-access,ROUTEUR,N,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD037WATF7,BVPN - Corporate 1534,VPO0009,0022915915
DI:ANDROS.ZI:X.RTONE:SAVIGNE1,RTONE,ANDROS,NTS,ANDROS-SAVIGNE,SAVIGNE1,savigne1,10.112.54.31,,,,,,,,,CE,,CEDRE,one-access,V4.3R4E25_FT1,,,0,one-access,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD037T869F,BVPN - Corporate 3578,VPO0007,0022915947
DI:ANDROS.ZI:X.RTONE:SAVIGNE1S,RTONE,ANDROS,NTS,ANDROS-SAVIGNE,SAVIGNE1S,savigne1s,10.116.249.10,,,,,,,,,CE,,CEDRE,one-access,V4.3R4E25_FT2,,,0,one-access,ROUTEUR,N,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD037T869F,BVPN - Corporate 3578,VPO0007,0022915947
DI:ANDROS.ZI:X.RTONE:VIELMOU1-N,RTONE,ANDROS,LIL,ANDROS-NET VIELMOU1,VIELMOU1-N,vielmou1-n,10.42.240.28,,,,,FRA,FRANCE,,,CE,,SATIN,one-access,V3.7R11E20_FT19,,,0,one-access,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ANDROS.ZI:X.RTSNMP:NOVANDIVIEIL-S,RTSNMP,ANDROS,LIL,ANDROS-NET VIELMOU1S,NOVANDIVIEIL-S,novandivieil-s,10.43.118.115,,,,,FRA,FRANCE,,,CE,,SATIN,bintec,V.7.5 Rev. 3 (Patch 7) IPSec ,,,0,bintec,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:AREVA.ZI:X.RTCIS:-SULLY,RTCIS,AREVA,AREVA_NPF,NP-FR-SULLY,-SULLY,-sully,10.47.215.8,,,,,,,,,CE,,CEDRE,cisco,12.4 15 T12,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03HH2JAE,BVPN - Corporate 4096,VPO0006,0022982303
DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-N,RTCIS,AREVA,AREVA_NC,SA-FR-MARCOUSSIS,GTWY-MARCOUSSIS-N,gtwy-marcoussis-n,10.42.65.201,,,,,FRA,FRANCE,,,CE,,SATIN,cisco,12.2 31 SB17,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:AREVA.ZI:X.RTCIS:AREVA-GTWY-MARCOUSSIS-S,RTCIS,AREVA,AREVA_NC,SA-FR-MARCOUSSIS,GTWY-MARCOUSSIS-S,gtwy-marcoussis-s,10.43.123.56,,,,,FRA,FRANCE,,,CE,,SATIN,cisco,12.2 31 SB17,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:AREVA.ZI:X.RTCIS:BRUXELLES,RTCIS,AREVA,AREVA_NC,AREVA,BRUXELLES,bruxelles,10.66.53.155,,,,,BEL,BELGIQUE,,,CE,,SATIN,cisco,12.4 17a,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,EQUANT IPVPN,EVPNPREM,
DI:AREVA.ZI:X.RTCIS:CFR-DIGUL,RTCIS,AREVA,AREVA_NC,NC-FR-BUL MCO DIGUL,CFR-DIGUL,cfr-digul,10.42.243.41,,,,,,,,,CE,,CEDRE,cisco,12.3 4 XG2,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03JGDW92,BVPN - Corporate 1024,VPO0002,0023002305
DI:AREVA.ZI:X.RTCIS:CFR-ESI-GRAVELINES,RTCIS,AREVA,AREVA_NC,NC-FR-BUA ESI GRAVEL,CFR-ESI-GRAVELINES,cfr-esi-gravelines,10.41.179.189,,,,,,,,,CE,,CEDRE,cisco,12.3 11 T7,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03EKMSBE,BVPN - Corporate 1024,VPO0002,0022982625
DI:AREVA.ZI:X.RTCIS:CFR-MSYS-GIF,RTCIS,AREVA,AREVA_NC,NC-FR-BUA GIF SUR YV,CFR-MSYS-GIF,cfr-msys-gif,10.43.248.54,,,,,,,,,CE,,CEDRE,cisco,12.3 11 T7,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03EKTLA1,BVPN - Corporate 1024,VPO0002,0022983244
DI:AREVA.ZI:X.RTCIS:CFR-PNS-CHINON,RTCIS,AREVA,AREVA_NC,NC-FR-BUA PNS CHINON,CFR-PNS-CHINON,cfr-pns-chinon,10.43.207.91,,,,,,,,,CE,,CEDRE,cisco,12.3 11 T7,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03JGBB87,BVPN - Corporate 1024,VPO0002,0023002116
DI:AREVA.ZI:X.RTCIS:CFR-PNS-SULLY,RTCIS,AREVA,AREVA_NC,NC-FR-BUA PNS SULLY,CFR-PNS-SULLY,cfr-pns-sully,10.41.160.58,,,,,,,,,CE,,CEDRE,cisco,12.4 8,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03EKTUB8,BVPN - Corporate 1024,VPO0002,0022983251
DI:AREVA.ZI:X.RTCIS:CFR-STMI-CHUSCLANNEW,RTCIS,AREVA,AREVA_NC,NC-FR-REG MELOX,CFR-STMI-CHUSCLANNEW,cfr-stmi-chusclannew,10.45.85.36,,,,,FRA,FRANCE,,,CE,,SATIN,cisco,12.4(8),,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:AREVA.ZI:X.RTCIS:CFR-TRI-BLYES,RTCIS,AREVA,AREVA_NC,NC-FR-BUA TRIH BLYES,CFR-TRI-BLYES,cfr-tri-blyes,10.43.240.47,,,,,,,,,CE,,CEDRE,cisco,12.3 11 T7,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03ERUKF3,BVPN - Corporate 1024,VPO0002,0022984771
DI:AREVA.ZI:X.RTCIS:CFR-TRI-BRAUD,RTCIS,AREVA,AREVA_NC,NC-FR-BUA TRIH BRAUD,CFR-TRI-BRAUD,cfr-tri-braud,10.44.118.51,,,,,,,,,CE,,CEDRE,cisco,12.3 11 T7,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03EKUHA5,BVPN - Corporate 1024,VPO0002,0022983242
DI:AREVA.ZI:X.RTCIS:CFR-TRI-OUZOUER,RTCIS,AREVA,AREVA_NC,NC-FR-BUA TRIH OUZOU,CFR-TRI-OUZOUER,cfr-tri-ouzouer,10.42.194.126,,,,,,,,,CE,,CEDRE,cisco,12.3 11 T7,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03EKY3DE,BVPN - Corporate 1024,VPO0002,0022982941
DI:AREVA.ZI:X.RTCIS:ERLANGEN-SHADOW,RTCIS,AREVA,AREVA_GMBH,NP-DE ERLANGEN,ERLANGEN-SHADOW,erlangen-shadow,172.17.185.15,,,,,DEU,ALLEMAGNE,,,CE,,SATIN,cisco,12.3(11)T7,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:AREVA.ZI:X.RTCIS:EUR-PIERRELATTE,RTCIS,AREVA,AREVA_NC,NC-FR-BUE EURODIF PR,EUR-PIERRELATTE,eur-pierrelatte,10.41.209.233,,,,,,,,,CE,,CEDRE,cisco,12.4 17a,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03EMYNB7,BVPN - Corporate 32424,VPO0006,0022982249
DI:AREVA.ZI:X.RTCIS:EUR-VALENCE,RTCIS,AREVA,AREVA_NC,NC-FR-BUCSI GUILHERA,EUR-VALENCE,eur-valence,10.43.140.18,,,,,,,,,CE,,CEDRE,cisco,12.3 4 XG2,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03ERSZE2,BVPN - Corporate 2048,VPO0002,0022983238
DI:AREVA.ZI:X.RTCIS:FBE-DESSEL,RTCIS,AREVA,AREVA_NPF,NP-BE-DESSEL,FBE-DESSEL,fbe-dessel,172.18.10.40,,,,,BEL,BELGIQUE,,,CE,,SATIN,cisco,12.2 13b M2,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:AREVA.ZI:X.RTCIS:FCH-BEIJING,RTCIS,AREVA,AREVA_NPF,NP-CN-BEIJING,FCH-BEIJING,fch-beijing,172.18.14.61,,,,,CHN,CHINE,,,CE,,SATIN,cisco,12.2(24),,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:AREVA.ZI:X.RTCIS:FFL-VOIMA-B,RTCIS,AREVA,AREVA_NPF,NP-FI-VOIMA,FFL-VOIMA-B,ffl-voima-b,172.18.14.199,,,,,FIN,FINLANDE,,,CE,,SATIN,cisco,12.4(15)T9,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:AREVA.ZI:X.RTCIS:FFL-VOIMA-N,RTCIS,AREVA,AREVA_NPF,NP-FI-VOIMA,FFL-VOIMA-N,ffl-voima-n,172.18.14.198,,,,,FIN,FINLANDE,,,CE,,SATIN,cisco,12.4(15)T9,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:AREVA.ZI:X.RTCIS:FFR-CHALON,RTCIS,AREVA,AREVA_NPF,NP-FR-CHALON,FFR-CHALON,ffr-chalon,10.45.125.110,,,,,,,,,CE,,CEDRE,cisco,12.4 25a,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03EPUSE4,BVPN - Corporate 31400,VPO0006,0022982138
DI:AREVA.ZI:X.RTCIS:FFR-CHATENOY,RTCIS,AREVA,AREVA_NPF,NP-FR-CHATENOY,FFR-CHATENOY,ffr-chatenoy,10.43.109.49,,,,,,,,,CE,,CEDRE,cisco,12.3 10b,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03HHDEA1,BVPN - Corporate 4096,VPO0005,0022982294
DI:AREVA.ZI:X.RTCIS:FFR-STMARCEL,RTCIS,AREVA,AREVA_NPF,NP-FR-SAINT MARCEL,FFR-STMARCEL,ffr-stmarcel,10.43.109.50,,,,,,,,,CE,,CEDRE,cisco,12.4 25a,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03EPTVE1,BVPN - Corporate 31400,VPO0005,0022982213
DI:AREVA.ZI:X.RTCIS:GTWY-MGF-N,RTCIS,AREVA,AREVA_NC,GTW MONTGOLFIER N,GTWY-MGF-N,gtwy-mgf-n,10.45.5.224,,,,,FRA,FRANCE,,,CE,,SATIN,cisco,12.2 31 SB8,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:AREVA.ZI:X.RTCIS:GTWY-MGF-S,RTCIS,AREVA,AREVA_NC,GTW MONTGOLFIER S,GTWY-MGF-S,gtwy-mgf-s,10.46.16.116,,,,,FRA,FRANCE,,,CE,,SATIN,cisco,15.1 2 T2.3,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:AREVA.ZI:X.RTCIS:NC-BAGNOLSSURCE,RTCIS,AREVA,AREVA_NC,NC-FR-REG BAGNOL,NC-BAGNOLSSURCE,nc-bagnolssurce,10.47.70.5,,,,,,,,,CE,,CEDRE,cisco,12.4 25a,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03EPQAF6,BVPN - Corporate 42409,VPO0006,0022982224
DI:AREVA.ZI:X.RTCIS:NC-BEAUMONTHAG,RTCIS,AREVA,AREVA_NC,NC-FR-AVL LA HAGUE,NC-BEAUMONTHAG,nc-beaumonthag,10.48.182.243,,,,,,,,,CE,,CEDRE,cisco,12.3 11 T7,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,CD03JBH5EE,BVPN - Corporate 30720,VPO0006,0023002218
