##v1.0##
FDN,OBJECT_TYPE,DOMAIN,ZONE,SITE,NAME,MNEMO,ADMIN_ADDRESS,COMMUNITY_CODE,COMMUNITY_NAME,CUSTOMER_CODE,CUSTOMER_NAME,COUNTRY_CODE,COUNTRY_NAME,CITY_CODE,CITY_NAME,NETWORK_ROLE,POP_ID,ORIGIN,ACTIVATION_MODEL,SOFTWARE_RELEASE,VOICE_ROLE,IPPBX_ZONE,IS_SHARED,MANUFACTURER,MACRO_TYPE,SRV_STAT_DATA,SRV_IPER_PATH_PERF,SRV_IPER_PATH_PERF_SLA,SRV_IPER_PATH_PERF_CPUMAX_SLA,SRV_IPER_PATH_AVAIL,SRV_IPER_PATH_AVAIL_SLA,SRV_IPER_PATH_AVAIL_CPUMAX_SLA,SRV_IPER_SITE_AVAIL,SRV_IPER_SITE_AVAIL_SLA,SRV_IPER_SITE_AVAIL_CPUMAX_SLA,SRV_IPER_ROUTER_PERF,SRV_IPER_BACKBONE_PATH,SRV_IPER_COS_VOLUME,SRV_IP_DSL_SERVICE_TYPE,SRV_IP_DSL_CARRIER_NAME,SRV_IP_DSL_OFFER_NAME,SRV_3G_SERVICE_TYPE,SRV_3G_CARRIER_CODE,SRV_3G_CARRIER_NAME,SRV_3G_GSM_NUMBER,SRV_TECH_REFERENCE,SRV_TECH_NAME,SRV_TECH_TYPE,SRV_CIAL_REFERENCE
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEHRW091,CONVATRI,ADPGSI_AG,FR,MAN_HEROUVILLE,A100_CEHRW091,A100-CEHRW091,10.191.137.65,,,,,FRA,FRANCE,100,,CE,,ORCHESTRE,atrica converter,,,,0,atrica,ROUTEUR,N,N,N,,N,N,,N,N,,Y,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEMRY741,CONVATRI,ADPGSI_AG,FR,MAN_MARSEILLE,A100_CEMRY741,A100-CEMRY741,10.191.82.169,,,,,FRA,FRANCE,100,,CE,,ORCHESTRE,atrica converter,,,,0,atrica,ROUTEUR,N,N,N,,N,N,,N,N,,Y,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEMTT181,CONVATRI,ADPGSI_AG,FR,MAN_MONT SAINT AIGNA,A100_CEMTT181,A100-CEMTT181,10.191.116.34,,,,,FRA,FRANCE,100,,CE,,ORCHESTRE,atrica converter,,,,0,atrica,ROUTEUR,N,N,N,,N,N,,N,N,,Y,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEPSS661,CONVATRI,ADPGSI_AG,FR,MAN_PESSAC,A100_CEPSS661,A100-CEPSS661,10.191.67.77,,,,,FRA,FRANCE,100,,CE,,ORCHESTRE,atrica converter,,,,0,atrica,ROUTEUR,N,N,N,,N,N,,N,N,,Y,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEQ7KDC2,CONVATRI,ADPGSI_AG,FR,MAN_ORSID NATION,A100_CEQ7KDC2,A100-CEQ7KDC2,10.191.126.46,,,,,FRA,FRANCE,100,,CE,,ORCHESTRE,atrica converter,,,,0,atrica,ROUTEUR,N,N,N,,N,N,,N,N,,Y,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CESDD881,CONVATRI,ADPGSI_AG,FR,MAN_LYON 1,A100_CESDD881,A100-CESDD881,10.191.91.35,,,,,FRA,FRANCE,100,,CE,,ORCHESTRE,atrica converter,,,,0,atrica,ROUTEUR,N,N,N,,N,N,,N,N,,Y,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CESDE071,CONVATRI,ADPGSI_AG,FR,MAN_LYON2,A100_CESDE071,A100-CESDE071,10.191.132.3,,,,,FRA,FRANCE,100,,CE,,ORCHESTRE,atrica converter,,,,0,atrica,ROUTEUR,N,N,N,,N,N,,N,N,,Y,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEUGHMC1,CONVATRI,ADPGSI_AG,FR,MAN_LISSE,A100_CEUGHMC1,A100-CEUGHMC1,10.191.106.226,,,,,FRA,FRANCE,100,,CE,,ORCHESTRE,atrica converter,,,,0,atrica,ROUTEUR,N,N,N,,N,N,,N,N,,Y,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEUNWKC1,CONVATRI,ADPGSI_AG,FR,MAN_NANTERRE OFFICE,A100_CEUNWKC1,A100-CEUNWKC1,10.191.99.116,,,,,FRA,FRANCE,100,,CE,,ORCHESTRE,atrica converter,,,,0,atrica,ROUTEUR,N,N,N,,N,N,,N,N,,Y,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEWFGLC2,CONVATRI,ADPGSI_AG,FR,MAN_LE PEC ACCES 1,A100_CEWFGLC2,A100-CEWFGLC2,10.191.77.98,,,,,FRA,FRANCE,100,,CE,,ORCHESTRE,atrica converter,,,,0,atrica,ROUTEUR,N,N,N,,N,N,,N,N,,Y,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEWGRGC1,CONVATRI,ADPGSI_AG,FR,MAN_LE PEC 2 ACCES 1,A100_CEWGRGC1,A100-CEWGRGC1,10.191.77.133,,,,,FRA,FRANCE,100,,CE,,ORCHESTRE,atrica converter,,,,0,atrica,ROUTEUR,N,N,N,,N,N,,N,N,,Y,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEWITFC1,CONVATRI,ADPGSI_AG,FR,MAN_AUBERVILLIERS,A100_CEWITFC1,A100-CEWITFC1,10.191.78.150,,,,,FRA,FRANCE,100,,CE,,ORCHESTRE,atrica converter,,,,0,atrica,ROUTEUR,N,N,N,,N,N,,N,N,,Y,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEWSR711,CONVATRI,ADPGSI_AG,FR,MAN_WASQUEHAL 2,A100_CEWSR711,A100-CEWSR711,10.191.141.100,,,,,FRA,FRANCE,100,,CE,,ORCHESTRE,atrica converter,,,,0,atrica,ROUTEUR,N,N,N,,N,N,,N,N,,Y,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A100-CEYBIFC5,CONVATRI,ADPGSI_AG,FR,MAN_ORSID BALLAINVIL,A100_CEYBIFC5,A100-CEYBIFC5,10.191.96.9,,,,,FRA,FRANCE,100,,CE,,ORCHESTRE,atrica converter,,,,0,atrica,ROUTEUR,N,N,N,,N,N,,N,N,,Y,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.CONVATRI:A200-CEUSKIC1,CONVATRI,ADPGSI_AG,FR,MAN_HUB NANTERRE 1,A200_CEUSKIC1,A200-CEUSKIC1,10.191.99.214,,,,,FRA,FRANCE,200,,CE,,ORCHESTRE,atrica converter,,,,0,atrica,ROUTEUR,N,N,N,,N,N,,N,N,,Y,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC2,RTATRI,ADPGSI_AG,FR,MAN_SURESNES1,A2100_CEUSHJC2,A2100-CEUSHJC2,10.191.103.101,,,,,FRA,FRANCE,210,,CE,,ORCHESTRE,atrica,,,,0,atrica,ROUTEUR,N,N,N,,N,N,,N,N,,Y,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSHJC3,RTATRI,ADPGSI_AG,FR,MAN_SURESNES2,A2100_CEUSHJC3,A2100-CEUSHJC3,10.191.110.181,,,,,FRA,FRANCE,210,,CE,,ORCHESTRE,atrica,,,,0,atrica,ROUTEUR,N,N,N,,N,N,,N,N,,Y,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEUSKIC3,RTATRI,ADPGSI_AG,FR,MAN_HUB NANTERRE 2,A2100_CEUSKIC3,A2100-CEUSKIC3,10.191.105.75,,,,,FRA,FRANCE,210,,CE,,ORCHESTRE,atrica,,,,0,atrica,ROUTEUR,N,N,N,,N,N,,N,N,,Y,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEWE3HC9,RTATRI,ADPGSI_AG,FR,MAN_MONTSOURIS_HUB2_,A2100_CEWE3HC9,A2100-CEWE3HC9,10.191.97.210,,,,,FRA,FRANCE,210,,CE,,ORCHESTRE,atrica,,,,0,atrica,ROUTEUR,N,N,N,,N,N,,N,N,,Y,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTATRI:A2100-CEWE3HCA,RTATRI,ADPGSI_AG,FR,MAN_MONTSOURIS_HUB2_,A2100_CEWE3HCA,A2100-CEWE3HCA,10.191.120.50,,,,,FRA,FRANCE,210,,CE,,ORCHESTRE,atrica,,,,0,atrica,ROUTEUR,N,N,N,,N,N,,N,N,,Y,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-CQF1,RTCIS,ADPGSI_AG,AGENCES,CARQUEFOU2,AGENCE-CQF1,agence-cqf1,10.45.123.31,,,,,FRA,FRANCE,,,CE,,SATIN,cisco,12.3(11)T7,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-LIL1,RTCIS,ADPGSI_AG,AGENCES,WASQUEHAL,AGENCE_LIL1,AGENCE-LIL1,10.42.129.8,,,,,FRA,FRANCE,,,CE,,SATIN,cisco,12.4 5a,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-MARSEILLE,RTCIS,ADPGSI_AG,AGENCES,MARSEILLE,AGENCE-MARSEILLE,agence-marseille,10.42.209.216,,,,,FRA,FRANCE,,,CE,,SATIN,cisco,12.4(8),,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-MONTSOURIS-HUB2,RTCIS,ADPGSI_AG,AGENCES,HUB MONTSOURIS,AGENCE-MONTSOURIS-HUB2,agence-montsouris-HUB2,10.45.5.168,,,,,FRA,FRANCE,,,CE,,SATIN,cisco,12.4(17a),,,0,cisco,ROUTEUR,N,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-NANTERRE-HUB1,RTCIS,ADPGSI_AG,AGENCES,HUB NANTERRE,AGENCE-NANTERRE-HUB1,agence-nanterre-HUB1,10.42.89.24,,,,,FRA,FRANCE,,,CE,,SATIN,cisco,12.4 17a,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-ROUEN,RTCIS,ADPGSI_AG,AGENCES,ROUEN,AGENCE-ROUEN,agence-rouen,10.44.122.108,,,,,FRA,FRANCE,,,CE,,SATIN,cisco,12.4(8),,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:AGENCE-TLS1,RTCIS,ADPGSI_AG,AGENCES,BLAGNAC2,AGENCE-TLS1,agence-tls1,10.41.82.7,,,,,FRA,FRANCE,,,CE,,SATIN,cisco,12.4(15)T12,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:BDX1,RTCIS,ADPGSI_AG,AGENCES,BORDEAUX,BDX1,bdx1,10.44.253.23,,,,,FRA,FRANCE,,,CE,,SATIN,cisco,12.4(23),,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:CZ,RTCIS,ADPGSI_AG,AGENCES,CZ PRA2,CZ,cz,10.66.122.93,,,,,CZE,TCHEQUE  REPUBLIQUE,,,CE,,SATIN,cisco,15.1 4 M4,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:EYBENS,RTCIS,ADPGSI_AG,AGENCES,EYBENS,EYBENS,eybens,10.43.113.44,,,,,FRA,FRANCE,,,CE,,SATIN,cisco,12.4(15)T3,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:HEROUVILLE2,RTCIS,ADPGSI_AG,AGENCES,HEROUVILLE,HEROUVILLE2,herouville2,10.46.84.146,,,,,FRA,FRANCE,DPG,,CE,,ORCHESTRE,cisco,12.4(8),,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,Y,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:LISSES1,RTCIS,ADPGSI_AG,AGENCES,LISSES,LISSES1,lisses1,10.41.61.114,,,,,FRA,FRANCE,,,CE,,SATIN,cisco,12.4 8,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:PBCN2168,RTCIS,ADPGSI_AG,ES,ES BCN3,PBCN2168,PBCN2168,10.66.78.8,,,,,ESP,ESPAGNE,,,CE,,SATIN,cisco,12.4 25a,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:PBCN2170,RTCIS,ADPGSI_AG,ES,ES BCN2,PBCN2170,PBCN2170,10.66.77.62,,,,,ESP,ESPAGNE,,,CE,,SATIN,cisco,12.4 15 T12,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,EQUANT IPVPN,EVPNPREM,
DI:ADPGSI_AG.ZI:X.RTCIS:PBRE286,RTCIS,ADPGSI_AG,DE,DE BRE1,PBRE286,PBRE286,10.66.88.14,,,,,DEU,ALLEMAGNE,,,CE,,SATIN,cisco,12.4 15 T12,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:PBRI095,RTCIS,ADPGSI_AG,IT,IT BLT1,PBRI095,PBRI095,10.66.86.207,,,,,ITA,ITALIE,,,CE,,SATIN,cisco,15.1 4 M1,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,EQUANT IPVPN,EVPNPREM,
DI:ADPGSI_AG.ZI:X.RTCIS:PBRS643,RTCIS,ADPGSI_AG,1#CSCS,GB WOE1,PBRS643,PBRS643,10.66.120.210,,,,,GBR,ROYAUME-UNI,,,CE,,SATIN,cisco,15.1 4 M1,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:PDRS184,RTCIS,ADPGSI_AG,DE,DE DRE1,PDRS184,PDRS184,10.66.114.63,,,,,DEU,ALLEMAGNE,,,CE,,SATIN,cisco,12.4 15 T12,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,EQUANT IPVPN,EVPNPREM,
DI:ADPGSI_AG.ZI:X.RTCIS:PGVA1188,RTCIS,ADPGSI_AG,CH,CH GEN1,PGVA1188,PGVA1188,10.66.29.98,,,,,CHE,SUISSE,,,CE,,SATIN,cisco,12.4 15 T12,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,EQUANT IPVPN,EVPNPREM,
DI:ADPGSI_AG.ZI:X.RTCIS:PGVA1189,RTCIS,ADPGSI_AG,CH,CH CAR1,PGVA1189,PGVA1189,10.66.29.121,,,,,CHE,SUISSE,,,CE,,SATIN,cisco,12.4 15 T12,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,EQUANT IPVPN,EVPNPREM,
DI:ADPGSI_AG.ZI:X.RTCIS:PHAM1030,RTCIS,ADPGSI_AG,DE,DE HAM1,PHAM1030,PHAM1030,10.66.114.62,,,,,DEU,ALLEMAGNE,,,CE,,SATIN,cisco,12.4 15 T12,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,EQUANT IPVPN,EVPNPREM,
DI:ADPGSI_AG.ZI:X.RTCIS:PLHR1639,RTCIS,ADPGSI_AG,AGENCES,GB CHE1,PLHR1639,PLHR1639,10.66.120.194,,,,,GBR,ROYAUME-UNI,,,CE,,SATIN,cisco,15.1 4 M1,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:PLON6965,RTCIS,ADPGSI_AG,GB,GB LON1,PLON6965,PLON6965,10.66.29.146,,,,,GBR,ROYAUME-UNI,,,CE,,SATIN,cisco,12.4 25a,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:PLPL400,RTCIS,ADPGSI_AG,AGENCES,GB WRN1,PLPL400,PLPL400,10.66.120.199,,,,,GBR,ROYAUME-UNI,,,CE,,SATIN,cisco,15.1 4 M1,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:PMAD3801,RTCIS,ADPGSI_AG,ES,ES MAD1,PMAD3801,pmad3801,10.66.78.27,,,,,ESP,ESPAGNE,,,CE,,SATIN,cisco,12.4(25a),,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:PMIL3085,RTCIS,ADPGSI_AG,IT,IT MIL1,PMIL3085,pmil3085,10.66.119.201,,,,,ITA,ITALIE,,,CE,,SATIN,cisco,15.1 4 M1,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:PMUC1455,RTCIS,ADPGSI_AG,DE,DE MUE1,PMUC1455,PMUC1455,10.66.114.64,,,,,DEU,ALLEMAGNE,,,CE,,SATIN,cisco,12.4 15 T12,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,EQUANT IPVPN,EVPNPREM,
DI:ADPGSI_AG.ZI:X.RTCIS:PPHM052,RTCIS,ADPGSI_AG,DE,DE BOE1,PPHM052,PPHM052,10.66.114.66,,,,,DEU,ALLEMAGNE,,,CE,,SATIN,cisco,12.4 15 T12,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,EQUANT IPVPN,EVPNPREM,
DI:ADPGSI_AG.ZI:X.RTCIS:PPRG1231,RTCIS,ADPGSI_AG,CZ,CZ PRA1,PPRG1231,pprg1231,10.66.29.122,,,,,CZE,TCHEQUE  REPUBLIQUE,,,CE,,SATIN,cisco,12.4 25a,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:PPRG1316,RTCIS,ADPGSI_AG,CZ,CZ PIL1,PPRG1316,PPRG1316,10.66.114.45,,,,,CZE,TCHEQUE  REPUBLIQUE,,,CE,,SATIN,cisco,12.4 25a,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:PROM1257,RTCIS,ADPGSI_AG,IT,IT ROM1,PROM1257,PROM1257,10.66.29.94,,,,,ITA,ITALIE,,,CE,,SATIN,cisco,12.4 25a,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:PROM1416,RTCIS,ADPGSI_AG,IT,IT ROM2,PROM1416,PROM1416,10.66.86.211,,,,,ITA,ITALIE,,,CE,,SATIN,cisco,15.1 4 M1,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,EQUANT IPVPN,EVPNPREM,
DI:ADPGSI_AG.ZI:X.RTCIS:PSTR641,RTCIS,ADPGSI_AG,DE,DE STG1,PSTR641,PSTR641,10.66.114.60,,,,,DEU,ALLEMAGNE,,,CE,,SATIN,cisco,12.4 15 T12,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,EQUANT IPVPN,EVPNPREM,
DI:ADPGSI_AG.ZI:X.RTCIS:PTRN605,RTCIS,ADPGSI_AG,IT,IT TUR2,PTRN605,ptrn605,10.66.118.61,,,,,ITA,ITALIE,,,CE,,SATIN,cisco,15.0 1 M4.3,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:PTUN232,RTCIS,ADPGSI_AG,TN,TN TUN1,PTUN232,PTUN232,10.66.28.229,,,,,TUN,TUNISIE,,,CE,,SATIN,cisco,15.0 1 M4.3,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:PWAW5622,RTCIS,ADPGSI_AG,PL,PL WAR1,PWAW5622,PWAW5622,10.66.61.7,,,,,POL,POLOGNE,,,CE,,SATIN,cisco,12.4 20 T3,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:PXVA059,RTCIS,ADPGSI_AG,AGENCES,GB STK1,PXVA059,PXVA059,10.66.120.175,,,,,GBR,ROYAUME-UNI,,,CE,,SATIN,cisco,15.2 2 T1.3,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:PZDX036,RTCIS,ADPGSI_AG,CH,CH DIE1,PZDX036,pzdx036,10.66.29.195,,,,,CHE,SUISSE,,,CE,,SATIN,cisco,12.4 25a,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,,,
DI:ADPGSI_AG.ZI:X.RTCIS:PZFR023,RTCIS,ADPGSI_AG,DE,DE FF01,PZFR023,PZFR023,10.66.114.61,,,,,DEU,ALLEMAGNE,,,CE,,SATIN,cisco,12.4 15 T12,,,0,cisco,ROUTEUR,Y,N,N,,N,N,,N,N,,N,N,N,,,,,,,,,EQUANT IPVPN,EVPNPREM,
