##v1.0##
FDN,SUBTYPE,PATHNAME,DOMAIN,DOMAINCORREL,MNEMONIC,INDICATOR,FORMULA,COMMITMENTVALUE,COMMITMENTTHRESHOLD,EXCEPTIONTHRESHOLD,INDICATORTHRESHOLDB,INDICATORTHRESHOLDT3,MEASUREPROTOCOL,COS,ORIGINSITENAME,ORIGINFDN,ORIGINIP,DESTINATIONSITENAME,ENDFDN,TARGETIP,CORRELATIONBACKUPTYPE,VPN,NETWORKFDN,ORIGIN,ADMINADDRESS,MANUFACTURER
DI:AG2R_LM.ZI:X.LIRT:AMPHITEA-S-2,LIRT,,AG2R_LM,AG2R_LM,Alm-amphitea-s-Jitter128-D2,RTD,,60,,,90,30000,saa-jiti,72,,DI:AG2R_LM.ZI:X.RTONE:AMPHITEA-S,10.113.36.31,,DI:AG2R_LM.ZI:X.RTCIS:MONS-INTERNES,10.100.9.3,128,,,,10.113.36.31,one-access
DI:AG2R_LM.ZI:X.LIRT:AMPHITEA-S-3,LIRT,,AG2R_LM,AG2R_LM,Alm-amphitea-s-Jitter128-D3,RTD,,60,,,90,30000,saa-jiti,40,,DI:AG2R_LM.ZI:X.RTONE:AMPHITEA-S,10.113.36.31,,DI:AG2R_LM.ZI:X.RTCIS:MONS-INTERNES,10.100.9.3,128,,,,10.113.36.31,one-access
DI:AG2R_LM.ZI:X.LIRT:ATOSSECLIN-N-1,LIRT,,AG2R_LM,AG2R_LM,Almpart-atosseclin-n-Jitter128-D1,RTD,,60,,,90,30000,saa-jiti,104,,DI:AG2R_LM.ZI:X.RTONE:ATOSSECLIN-N,10.113.151.224,,DI:AG2R_LM.ZI:X.RTCIS:MONS-PART,10.100.119.3,128,,,,10.113.151.224,one-access
DI:AG2R_LM.ZI:X.LIRT:ATOSSECLIN-N-2,LIRT,,AG2R_LM,AG2R_LM,Almpart-atosseclin-n-Jitter128-D2,RTD,,60,,,90,30000,saa-jiti,72,,DI:AG2R_LM.ZI:X.RTONE:ATOSSECLIN-N,10.113.151.224,,DI:AG2R_LM.ZI:X.RTCIS:MONS-PART,10.100.119.3,128,,,,10.113.151.224,one-access
DI:AG2R_LM.ZI:X.LIRT:ATOSSECLIN-N-3,LIRT,,AG2R_LM,AG2R_LM,Almpart-atosseclin-n-Jitter128-D3,RTD,,60,,,90,30000,saa-jiti,40,,DI:AG2R_LM.ZI:X.RTONE:ATOSSECLIN-N,10.113.151.224,,DI:AG2R_LM.ZI:X.RTCIS:MONS-PART,10.100.119.3,128,,,,10.113.151.224,one-access
DI:AG2R_LM.ZI:X.LIRT:ATOSSECLIN-S-1,LIRT,,AG2R_LM,AG2R_LM,Almpart-atosseclin-s-Jitter128-D1,RTD,,60,,,90,30000,saa-jiti,104,,DI:AG2R_LM.ZI:X.RTONE:ATOSSECLIN-S,10.115.154.5,,DI:AG2R_LM.ZI:X.RTCIS:MONS-PART,10.100.119.3,128,,,,10.115.154.5,one-access
DI:AG2R_LM.ZI:X.LIRT:OS904-CEGRO842-5-1-150,LIRT,,AG2R_LM,,OS904-CEGRO842-0024THW6-A,RTD,,60,,,90,30000,saa-jitt2,A,,DI:AG2R_LM.ZI:X.SWOMRV:OS904-CEGRO842,10.191.94.194,,,,128,,,,10.191.94.194,MRV
DI:AG2R_LM.ZI:X.LIRT:OS904-CEMSF481-5-1-30,LIRT,,AG2R_LM,,OS904-CEMSF481-0024THW6-A,RTD,,60,,,90,30000,saa-jitt2,A,,DI:AG2R_LM.ZI:X.SWOMRV:OS904-CEMSF481,10.191.176.42,,,,128,,,,10.191.176.42,MRV
DI:AG2R_LM.ZI:X.LIRT:OS904-CEPUI211-5-1-180,LIRT,,AG2R_LM,,OS904-CEPUI211-0024THW6-A,RTD,,60,,,90,30000,saa-jitt2,A,,DI:AG2R_LM.ZI:X.SWOMRV:OS904-CEPUI211,10.191.109.14,,,,128,,,,10.191.109.14,MRV
DI:AG2R_LM.ZI:X.LIRT:OS904-CEROB922-5-1-120,LIRT,,AG2R_LM,,OS904-CEROB922-0024THW6-A,RTD,,60,,,90,30000,saa-jitt2,A,,DI:AG2R_LM.ZI:X.SWOMRV:OS904-CEROB922,10.191.175.132,,,,128,,,,10.191.175.132,MRV
DI:AG2R_LM.ZI:X.LIRT:OS904-CEW3ULC2-5-1-80,LIRT,,AG2R_LM,,OS904-CEW3ULC2-0024THW6-A,RTD,,60,,,90,30000,saa-jitt2,A,,DI:AG2R_LM.ZI:X.SWOMRV:OS904-CEW3ULC2,10.191.188.62,,,,128,,,,10.191.188.62,MRV
DI:AG2R_LM.ZI:X.LIRT:OS904-CEW6LTC1-5-1-50,LIRT,,AG2R_LM,,OS904-CEW6LTC1-0024THW6-A,RTD,,60,,,90,30000,saa-jitt2,A,,DI:AG2R_LM.ZI:X.SWOMRV:OS904-CEW6LTC1,10.191.188.66,,,,128,,,,10.191.188.66,MRV
DI:AG2R_LM.ZI:X.LIRT:OS904-CEWROUC1-5-1-160,LIRT,,AG2R_LM,,OS904-CEWROUC1-0024THW6-A,RTD,,60,,,90,30000,saa-jitt2,A,,DI:AG2R_LM.ZI:X.SWOMRV:OS904-CEWROUC1,10.191.188.122,,,,128,,,,10.191.188.122,MRV
DI:AG2R_LM.ZI:X.LIRT:OS904-CEWULUC1-5-1-100,LIRT,,AG2R_LM,,OS904-CEWULUC1-0024THW6-A,RTD,,60,,,90,30000,saa-jitt2,A,,DI:AG2R_LM.ZI:X.SWOMRV:OS904-CEWULUC1,10.191.184.201,,,,128,,,,10.191.184.201,MRV
DI:AG2R_LM.ZI:X.LIRT:OS904-CEYI2GC1-5-1-40,LIRT,,AG2R_LM,,OS904-CEYI2GC1-0024THW6-A,RTD,,60,,,90,30000,saa-jitt2,A,,DI:AG2R_LM.ZI:X.SWOMRV:OS904-CEYI2GC1,10.191.185.194,,,,128,,,,10.191.185.194,MRV
DI:AG2R_LM.ZI:X.LIRT:PRODIRECTMARSE-N-1,LIRT,,AG2R_LM,AG2R_LM,ALMPART-prodirectmarse-n-Jitter128-D1,RTD,,60,,,90,30000,saa-jitt,104,,DI:AG2R_LM.ZI:X.RTCIS:PRODIRECTMARSE-N,10.116.18.7,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART,10.100.119.4,128,,,,10.116.18.7,cisco
DI:AG2R_LM.ZI:X.LIRT:PRODIRECTMARSE-N-2,LIRT,,AG2R_LM,AG2R_LM,ALMPART-prodirectmarse-n-Jitter128-D2,RTD,,60,,,90,30000,saa-jitt,72,,DI:AG2R_LM.ZI:X.RTCIS:PRODIRECTMARSE-N,10.116.18.7,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART,10.100.119.4,128,,,,10.116.18.7,cisco
DI:AG2R_LM.ZI:X.LIRT:PRODIRECTMARSE-N-3,LIRT,,AG2R_LM,AG2R_LM,ALMPART-prodirectmarse-n-Jitter128-D3,RTD,,60,,,90,30000,saa-jitt,40,,DI:AG2R_LM.ZI:X.RTCIS:PRODIRECTMARSE-N,10.116.18.7,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART,10.100.119.4,128,,,,10.116.18.7,cisco
DI:AG2R_LM.ZI:X.LIRT:PRODIRECTMARSE-N-4,LIRT,,AG2R_LM,AG2R_LM,ALMPART-prodirectmarse-n-Jitter64-RT,RTD,,60,,,90,30000,saa-jitt,184,,DI:AG2R_LM.ZI:X.RTCIS:PRODIRECTMARSE-N,10.116.18.7,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART,10.100.119.4,128,,,,10.116.18.7,cisco
DI:AG2R_LM.ZI:X.LIRT:PRODIRECTMARSE-N-5,LIRT,,AG2R_LM,AG2R_LM,ALMPART-prodirectmarse-n-Jitter64-RTVI,RTD,,60,,,90,30000,saa-jitt,136,,DI:AG2R_LM.ZI:X.RTCIS:PRODIRECTMARSE-N,10.116.18.7,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART,10.100.119.4,128,,,,10.116.18.7,cisco
DI:AG2R_LM.ZI:X.LIRT:PRODIRECTMARSE-S-1,LIRT,,AG2R_LM,AG2R_LM,ALMPART-prodirectmarse-s-Jitter128-D1,RTD,,60,,,90,30000,saa-jitt,104,,DI:AG2R_LM.ZI:X.RTCIS:PRODIRECTMARSE-S,10.116.65.16,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART.L:VLAN1,10.100.119.4,128,,,,10.116.65.16,cisco
DI:AG2R_LM.ZI:X.LIRT:PRODIRECTMARSE-S-2,LIRT,,AG2R_LM,AG2R_LM,ALMPART-prodirectmarse-s-Jitter128-D2,RTD,,60,,,90,30000,saa-jitt,72,,DI:AG2R_LM.ZI:X.RTCIS:PRODIRECTMARSE-S,10.116.65.16,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART.L:VLAN1,10.100.119.4,128,,,,10.116.65.16,cisco
DI:AG2R_LM.ZI:X.LIRT:PRODIRECTMARSE-S-3,LIRT,,AG2R_LM,AG2R_LM,ALMPART-prodirectmarse-s-Jitter128-D3,RTD,,60,,,90,30000,saa-jitt,40,,DI:AG2R_LM.ZI:X.RTCIS:PRODIRECTMARSE-S,10.116.65.16,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART.L:VLAN1,10.100.119.4,128,,,,10.116.65.16,cisco
DI:AG2R_LM.ZI:X.LIRT:PRODIRECTMARSE-S-4,LIRT,,AG2R_LM,AG2R_LM,ALMPART-prodirectmarse-s-Jitter64-RT,RTD,,60,,,90,30000,saa-jitt,184,,DI:AG2R_LM.ZI:X.RTCIS:PRODIRECTMARSE-S,10.116.65.16,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART.L:VLAN1,10.100.119.4,128,,,,10.116.65.16,cisco
DI:AG2R_LM.ZI:X.LIRT:PRODIRECTMARSE-S-5,LIRT,,AG2R_LM,AG2R_LM,ALMPART-prodirectmarse-s-Jitter64-RTVI,RTD,,60,,,90,30000,saa-jitt,136,,DI:AG2R_LM.ZI:X.RTCIS:PRODIRECTMARSE-S,10.116.65.16,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART.L:VLAN1,10.100.119.4,128,,,,10.116.65.16,cisco
DI:AG2R_LM.ZI:X.LIRT:SOPRAPUTEAUX-N-1,LIRT,,AG2R_LM,AG2R_LM,Almpart-sopraputeaux-n-Jitter128-D1,RTD,,60,,,90,30000,saa-jiti,104,,DI:AG2R_LM.ZI:X.RTONE:SOPRAPUTEAUX-N,10.113.50.43,,DI:AG2R_LM.ZI:X.RTCIS:MONS-PART,10.100.119.3,128,,,,10.113.50.43,one-access
DI:AG2R_LM.ZI:X.LIRT:SOPRAPUTEAUX-N-2,LIRT,,AG2R_LM,AG2R_LM,Almpart-sopraputeaux-n-Jitter128-D2,RTD,,60,,,90,30000,saa-jiti,72,,DI:AG2R_LM.ZI:X.RTONE:SOPRAPUTEAUX-N,10.113.50.43,,DI:AG2R_LM.ZI:X.RTCIS:MONS-PART,10.100.119.3,128,,,,10.113.50.43,one-access
DI:AG2R_LM.ZI:X.LIRT:SOPRAPUTEAUX-N-3,LIRT,,AG2R_LM,AG2R_LM,Almpart-sopraputeaux-n-Jitter128-D3,RTD,,60,,,90,30000,saa-jiti,40,,DI:AG2R_LM.ZI:X.RTONE:SOPRAPUTEAUX-N,10.113.50.43,,DI:AG2R_LM.ZI:X.RTCIS:MONS-PART,10.100.119.3,128,,,,10.113.50.43,one-access
DI:AG2R_LM.ZI:X.LIRT:SOPRAPUTEAUX-S-1,LIRT,,AG2R_LM,AG2R_LM,Almpart-sopraputeaux-s-Jitter128-D1,RTD,,60,,,90,30000,saa-jiti,104,,DI:AG2R_LM.ZI:X.RTONE:SOPRAPUTEAUX-S,10.113.49.39,,DI:AG2R_LM.ZI:X.RTCIS:MONS-PART,10.100.119.3,128,,,,10.113.49.39,one-access
DI:AG2R_LM.ZI:X.LIRT:SOPRAPUTEAUX-S-2,LIRT,,AG2R_LM,AG2R_LM,Almpart-sopraputeaux-s-Jitter128-D2,RTD,,60,,,90,30000,saa-jiti,72,,DI:AG2R_LM.ZI:X.RTONE:SOPRAPUTEAUX-S,10.113.49.39,,DI:AG2R_LM.ZI:X.RTCIS:MONS-PART,10.100.119.3,128,,,,10.113.49.39,one-access
DI:AG2R_LM.ZI:X.LIRT:SOPRAPUTEAUX-S-3,LIRT,,AG2R_LM,AG2R_LM,Almpart-sopraputeaux-s-Jitter128-D3,RTD,,60,,,90,30000,saa-jiti,40,,DI:AG2R_LM.ZI:X.RTONE:SOPRAPUTEAUX-S,10.113.49.39,,DI:AG2R_LM.ZI:X.RTCIS:MONS-PART,10.100.119.3,128,,,,10.113.49.39,one-access
DI:AG2R_LM.ZI:X.LIRT:TPGSBORDEAUX-N-1,LIRT,,AG2R_LM,AG2R_LM,ALMPART-tpgsbordeaux-n-Jitter128-D1,RTD,,60,,,90,30000,saa-jitt,104,,DI:AG2R_LM.ZI:X.RTCIS:TPGSBORDEAUX-N,10.115.67.2,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART,10.100.119.4,128,,,,10.115.67.2,cisco
DI:AG2R_LM.ZI:X.LIRT:TPGSBORDEAUX-N-2,LIRT,,AG2R_LM,AG2R_LM,ALMPART-tpgsbordeaux-n-Jitter128-D2,RTD,,60,,,90,30000,saa-jitt,72,,DI:AG2R_LM.ZI:X.RTCIS:TPGSBORDEAUX-N,10.115.67.2,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART,10.100.119.4,128,,,,10.115.67.2,cisco
DI:AG2R_LM.ZI:X.LIRT:TPGSBORDEAUX-N-3,LIRT,,AG2R_LM,AG2R_LM,ALMPART-tpgsbordeaux-n-Jitter128-D3,RTD,,60,,,90,30000,saa-jitt,40,,DI:AG2R_LM.ZI:X.RTCIS:TPGSBORDEAUX-N,10.115.67.2,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART,10.100.119.4,128,,,,10.115.67.2,cisco
DI:AG2R_LM.ZI:X.LIRT:TPGSBORDEAUX-N-4,LIRT,,AG2R_LM,AG2R_LM,ALMPART-tpgsbordeaux-n-Jitter64-RT,RTD,,60,,,90,30000,saa-jitt,184,,DI:AG2R_LM.ZI:X.RTCIS:TPGSBORDEAUX-N,10.115.67.2,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART,10.100.119.4,128,,,,10.115.67.2,cisco
DI:AG2R_LM.ZI:X.LIRT:TPGSBORDEAUX-N-5,LIRT,,AG2R_LM,AG2R_LM,ALMPART-tpgsbordeaux-n-Jitter64-RTVI,RTD,,60,,,90,30000,saa-jitt,136,,DI:AG2R_LM.ZI:X.RTCIS:TPGSBORDEAUX-N,10.115.67.2,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART,10.100.119.4,128,,,,10.115.67.2,cisco
DI:AG2R_LM.ZI:X.LIRT:TPGSBORDEAUX-S-1,LIRT,,AG2R_LM,AG2R_LM,ALMPART-tpgsbordeaux-s-Jitter128-D1,RTD,,60,,,90,30000,saa-jitt,104,,DI:AG2R_LM.ZI:X.RTCIS:TPGSBORDEAUX-S,10.115.56.35,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART,10.100.119.4,128,,,,10.115.56.35,cisco
DI:AG2R_LM.ZI:X.LIRT:TPGSBORDEAUX-S-2,LIRT,,AG2R_LM,AG2R_LM,ALMPART-tpgsbordeaux-s-Jitter128-D2,RTD,,60,,,90,30000,saa-jitt,72,,DI:AG2R_LM.ZI:X.RTCIS:TPGSBORDEAUX-S,10.115.56.35,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART,10.100.119.4,128,,,,10.115.56.35,cisco
DI:AG2R_LM.ZI:X.LIRT:TPGSBORDEAUX-S-3,LIRT,,AG2R_LM,AG2R_LM,ALMPART-tpgsbordeaux-s-Jitter128-D3,RTD,,60,,,90,30000,saa-jitt,40,,DI:AG2R_LM.ZI:X.RTCIS:TPGSBORDEAUX-S,10.115.56.35,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART,10.100.119.4,128,,,,10.115.56.35,cisco
DI:AG2R_LM.ZI:X.LIRT:TPGSBORDEAUX-S-4,LIRT,,AG2R_LM,AG2R_LM,ALMPART-tpgsbordeaux-s-Jitter64-RT,RTD,,60,,,90,30000,saa-jitt,184,,DI:AG2R_LM.ZI:X.RTCIS:TPGSBORDEAUX-S,10.115.56.35,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART,10.100.119.4,128,,,,10.115.56.35,cisco
DI:AG2R_LM.ZI:X.LIRT:TPGSBORDEAUX-S-5,LIRT,,AG2R_LM,AG2R_LM,ALMPART-tpgsbordeaux-s-Jitter64-RTVI,RTD,,60,,,90,30000,saa-jitt,136,,DI:AG2R_LM.ZI:X.RTCIS:TPGSBORDEAUX-S,10.115.56.35,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART,10.100.119.4,128,,,,10.115.56.35,cisco
DI:AG2R_LM.ZI:X.LIRT:ATOSSECLIN-S-2,LIRT,,AG2R_LM,AG2R_LM,Almpart-atosseclin-s-Jitter128-D2,RTD,,60,,,90,30000,saa-jiti,72,,DI:AG2R_LM.ZI:X.RTONE:ATOSSECLIN-S,10.115.154.5,,DI:AG2R_LM.ZI:X.RTCIS:MONS-PART,10.100.119.3,128,,,,10.115.154.5,one-access
DI:AG2R_LM.ZI:X.LIRT:ATOSSECLIN-S-3,LIRT,,AG2R_LM,AG2R_LM,Almpart-atosseclin-s-Jitter128-D3,RTD,,60,,,90,30000,saa-jiti,40,,DI:AG2R_LM.ZI:X.RTONE:ATOSSECLIN-S,10.115.154.5,,DI:AG2R_LM.ZI:X.RTCIS:MONS-PART,10.100.119.3,128,,,,10.115.154.5,one-access
DI:AG2R_LM.ZI:X.LIRT:CHARTRES-INTERNES-5,LIRT,,AG2R_LM,,,RTD,,60,,,90,30000,saa-echo,0,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-INTERNES,10.116.44.1,,,10.100.111.253,128,,,,10.116.44.1,cisco
DI:AG2R_LM.ZI:X.LIRT:CHARTRES-PART-5,LIRT,,AG2R_LM,,,RTD,,60,,,90,30000,saa-echo,0,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART,10.47.179.4,,,10.100.121.1,128,,,,10.47.179.4,cisco
DI:AG2R_LM.ZI:X.LIRT:CHARTRES-PART-6,LIRT,,AG2R_LM,,,RTD,,60,,,90,30000,saa-echo,0,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART,10.47.179.4,,,10.100.122.1,128,,,,10.47.179.4,cisco
DI:AG2R_LM.ZI:X.LIRT:CLERMONTAGRICU-S-1,LIRT,,AG2R_LM,AG2R_LM,ALM-clermontagricu-s-Jitter128-D1,RTD,,60,,,90,30000,saa-jitt,104,,DI:AG2R_LM.ZI:X.RTCIS:CLERMONTAGRICU-S,10.113.85.10,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-INTERNES,10.100.9.4,128,,,,10.113.85.10,cisco
DI:AG2R_LM.ZI:X.LIRT:CLERMONTAGRICU-S-2,LIRT,,AG2R_LM,AG2R_LM,ALM-clermontagricu-s-Jitter128-D2,RTD,,60,,,90,30000,saa-jitt,104,,DI:AG2R_LM.ZI:X.RTCIS:CLERMONTAGRICU-S,10.113.85.10,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-INTERNES,10.100.9.4,128,,,,10.113.85.10,cisco
DI:AG2R_LM.ZI:X.LIRT:CLERMONTAGRICU-S-3,LIRT,,AG2R_LM,AG2R_LM,ALM-clermontagricu-s-Jitter128-D3,RTD,,60,,,90,30000,saa-jitt,40,,DI:AG2R_LM.ZI:X.RTCIS:CLERMONTAGRICU-S,10.113.85.10,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-INTERNES,10.100.9.4,128,,,,10.113.85.10,cisco
DI:AG2R_LM.ZI:X.LIRT:ELOQUANTGRENOB-N-1,LIRT,,AG2R_LM,AG2R_LM,Almpart-eloquantgrenob-n-Jitter128-D1,RTD,,60,,,90,30000,saa-jiti,104,,DI:AG2R_LM.ZI:X.RTONE:ELOQUANTGRENOB-N,10.113.69.36,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART,10.100.119.4,128,,,,10.113.69.36,one-access
DI:AG2R_LM.ZI:X.LIRT:ELOQUANTGRENOB-N-2,LIRT,,AG2R_LM,AG2R_LM,Almpart-eloquantgrenob-n-Jitter128-D2,RTD,,60,,,90,30000,saa-jiti,72,,DI:AG2R_LM.ZI:X.RTONE:ELOQUANTGRENOB-N,10.113.69.36,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART,10.100.119.4,128,,,,10.113.69.36,one-access
DI:AG2R_LM.ZI:X.LIRT:ELOQUANTGRENOB-N-3,LIRT,,AG2R_LM,AG2R_LM,Almpart-eloquantgrenob-n-Jitter128-D3,RTD,,60,,,90,30000,saa-jiti,40,,DI:AG2R_LM.ZI:X.RTONE:ELOQUANTGRENOB-N,10.113.69.36,,DI:AG2R_LM.ZI:X.RTCIS:CHARTRES-PART,10.100.119.4,128,,,,10.113.69.36,one-access
DI:AG2R_LM.ZI:X.LIRT:INSP2SEVRES-N-1,LIRT,,AG2R_LM,AG2R_LM,Alm-insp2sevres-n-Jitter128-D1,RTD,,60,,,90,30000,saa-jiti,104,,DI:AG2R_LM.ZI:X.RTONE:INSP2SEVRES-N,10.113.117.68,,DI:AG2R_LM.ZI:X.RTCIS:MONS-INTERNES,10.100.9.3,128,,,,10.113.117.68,one-access
DI:AG2R_LM.ZI:X.LIRT:INSP2SEVRES-N-2,LIRT,,AG2R_LM,AG2R_LM,Alm-insp2sevres-n-Jitter128-D2,RTD,,60,,,90,30000,saa-jiti,72,,DI:AG2R_LM.ZI:X.RTONE:INSP2SEVRES-N,10.113.117.68,,DI:AG2R_LM.ZI:X.RTCIS:MONS-INTERNES,10.100.9.3,128,,,,10.113.117.68,one-access
DI:AG2R_LM.ZI:X.LIRT:INSP2SEVRES-N-3,LIRT,,AG2R_LM,AG2R_LM,Alm-insp2sevres-n-Jitter128-D3,RTD,,60,,,90,30000,saa-jiti,40,,DI:AG2R_LM.ZI:X.RTONE:INSP2SEVRES-N,10.113.117.68,,DI:AG2R_LM.ZI:X.RTCIS:MONS-INTERNES,10.100.9.3,128,,,,10.113.117.68,one-access
DI:AG2R_LM.ZI:X.LIRT:INSP2SEVRES-S-1,LIRT,,AG2R_LM,AG2R_LM,Alm-insp2sevres-s-Jitter128-D1,RTD,,60,,,90,30000,saa-jiti,104,,DI:AG2R_LM.ZI:X.RTONE:INSP2SEVRES-S,10.114.63.110,,DI:AG2R_LM.ZI:X.RTCIS:MONS-INTERNES,10.100.9.3,128,,,,10.114.63.110,one-access
DI:AG2R_LM.ZI:X.LIRT:INSP2SEVRES-S-2,LIRT,,AG2R_LM,AG2R_LM,Alm-insp2sevres-s-Jitter128-D2,RTD,,60,,,90,30000,saa-jiti,72,,DI:AG2R_LM.ZI:X.RTONE:INSP2SEVRES-S,10.114.63.110,,DI:AG2R_LM.ZI:X.RTCIS:MONS-INTERNES,10.100.9.3,128,,,,10.114.63.110,one-access
DI:AG2R_LM.ZI:X.LIRT:INSP2SEVRES-S-3,LIRT,,AG2R_LM,AG2R_LM,Alm-insp2sevres-s-Jitter128-D3,RTD,,60,,,90,30000,saa-jiti,40,,DI:AG2R_LM.ZI:X.RTONE:INSP2SEVRES-S,10.114.63.110,,DI:AG2R_LM.ZI:X.RTCIS:MONS-INTERNES,10.100.9.3,128,,,,10.114.63.110,one-access
